Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
C. lanatus	SRR1001435	passes the trimming step	not used for transcript reconstruction	10048946	53.0003%	U
C. lanatus	SRR1001436	passes the trimming step	not used for transcript reconstruction	3194388	58.3321%	U
C. lanatus	SRR1001437	passes the trimming step	not used for transcript reconstruction	7604070	69.6338%	U
C. lanatus	SRR1001438	passes the trimming step	not used for transcript reconstruction	9289246	71.0344%	U
C. lanatus	SRR1001439	passes the trimming step	not used for transcript reconstruction	7186111	63.1937%	U
C. lanatus	SRR1001440	passes the trimming step	not used for transcript reconstruction	6155691	65.7779%	U
C. lanatus	SRR1001441	passes the trimming step	not used for transcript reconstruction	5402777	66.0023%	U
C. lanatus	SRR1001442	passes the trimming step	not used for transcript reconstruction	10044239	63.4663%	U
C. lanatus	SRR10071350	passes the trimming step	not used for transcript reconstruction	56860282/56860282	62.5404%	IU
C. lanatus	SRR10071351	passes the trimming step	not used for transcript reconstruction	49488926/49488926	61.69%	IU
C. lanatus	SRR10071352	passes the trimming step	not used for transcript reconstruction	47356953/47356953	58.5443%	IU
C. lanatus	SRR10071353	passes the trimming step	not used for transcript reconstruction	41973998/41973998	63.12%	IU
C. lanatus	SRR10071354	passes the trimming step	not used for transcript reconstruction	53678342/53678342	63.0391%	IU
C. lanatus	SRR10071355	passes the trimming step	not used for transcript reconstruction	41246388/41246388	61.841%	IU
C. lanatus	SRR10078179	passes the trimming step	not used for transcript reconstruction	13378484/13378484	61.0285%	IU
C. lanatus	SRR10078180	passes the trimming step	not used for transcript reconstruction	17679647/17679647	54.0742%	IU
C. lanatus	SRR10078181	passes the trimming step	not used for transcript reconstruction	17987316/17987316	59.4253%	IU
C. lanatus	SRR10078182	passes the trimming step	not used for transcript reconstruction	20769973/20769973	58.6767%	IU
C. lanatus	SRR10078183	passes the trimming step	not used for transcript reconstruction	17785870/17785870	60.9356%	IU
C. lanatus	SRR10078184	passes the trimming step	not used for transcript reconstruction	11024546/11024546	50.6163%	IU
C. lanatus	SRR10251170	passes the trimming step	not used for transcript reconstruction	16038503/16038503	63.6965%	IU
C. lanatus	SRR10251171	passes the trimming step	not used for transcript reconstruction	16683400/16683400	50.444%	IU
C. lanatus	SRR10251172	passes the trimming step	not used for transcript reconstruction	20310693/20310693	73.0073%	IU
C. lanatus	SRR10251173	passes the trimming step	not used for transcript reconstruction	25037314/25037314	73.9367%	IU
