Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
C. melo	ERR1662989	passes the trimming step	not used for transcript reconstruction	14574704	68.9887%	U
C. melo	ERR1662990	passes the trimming step	not used for transcript reconstruction	14609413	83.4004%	U
C. melo	ERR1662991	passes the trimming step	not used for transcript reconstruction	15426113	86.2578%	U
C. melo	ERR1662992	passes the trimming step	not used for transcript reconstruction	20519959	85.9696%	U
C. melo	ERR1662993	passes the trimming step	not used for transcript reconstruction	12556303	83.5404%	U
C. melo	ERR1662994	passes the trimming step	not used for transcript reconstruction	15329992	85.4457%	U
C. melo	ERR1662995	passes the trimming step	not used for transcript reconstruction	11071555	70.2112%	U
C. melo	ERR1662996	passes the trimming step	not used for transcript reconstruction	15050227	82.9649%	U
C. melo	ERR1662997	passes the trimming step	not used for transcript reconstruction	16988462	84.7684%	U
C. melo	ERR1662998	passes the trimming step	not used for transcript reconstruction	18253442	85.5995%	U
C. melo	ERR1662999	passes the trimming step	not used for transcript reconstruction	17182964	85.8419%	U
C. melo	ERR1663000	passes the trimming step	not used for transcript reconstruction	14313677	84.2621%	U
C. melo	ERR1663001	passes the trimming step	not used for transcript reconstruction	19460378	79.6609%	U
C. melo	ERR1663002	passes the trimming step	not used for transcript reconstruction	17905345	81.1435%	U
C. melo	ERR1663003	passes the trimming step	not used for transcript reconstruction	18502374	82.9501%	U
C. melo	ERR1663004	passes the trimming step	not used for transcript reconstruction	22927963	81.8957%	U
C. melo	SRR10053300	passes the trimming step	not used for transcript reconstruction	12848710/12848710	84.1354%	IU
C. melo	SRR10053301	passes the trimming step	not used for transcript reconstruction	15512146/15512146	84.4733%	IU
C. melo	SRR10053302	passes the trimming step	not used for transcript reconstruction	15786407/15786407	84.5483%	IU
C. melo	SRR10053303	passes the trimming step	not used for transcript reconstruction	14667024/14667024	85.2384%	IU
C. melo	SRR10053304	passes the trimming step	not used for transcript reconstruction	11637908/11637908	83.7793%	IU
C. melo	SRR10053305	passes the trimming step	not used for transcript reconstruction	14217963/14217963	84.2645%	IU
C. melo	SRR10466859	passes the trimming step	not used for transcript reconstruction	25216645/25216645	79.4164%	IU
C. melo	SRR10466860	passes the trimming step	not used for transcript reconstruction	24113402/24113402	78.8504%	IU
C. melo	SRR10466861	passes the trimming step	not used for transcript reconstruction	29713567/29713567	80.4897%	IU
C. melo	SRR10466862	passes the trimming step	not used for transcript reconstruction	25801214/25801214	79.9491%	IU
C. melo	SRR10966111	passes the trimming step	used for transcript reconstruction	13890333/13890333	87.3552%	ISR
C. melo	SRR10966112	passes the trimming step	used for transcript reconstruction	11739936/11739936	87.3737%	ISR
C. melo	SRR10966113	passes the trimming step	used for transcript reconstruction	18564304/18564304	75.9258%	ISR
C. melo	SRR10966114	passes the trimming step	used for transcript reconstruction	13657459/13657459	77.4319%	ISR
C. melo	SRR10966115	passes the trimming step	used for transcript reconstruction	15046217/15046217	75.8037%	ISR
C. melo	SRR10966116	passes the trimming step	used for transcript reconstruction	16490842/16490842	77.1952%	ISR
C. melo	SRR10966117	passes the trimming step	used for transcript reconstruction	19938470/19938470	80.5587%	ISR
C. melo	SRR10966118	passes the trimming step	used for transcript reconstruction	14283050/14283050	87.7194%	ISR
C. melo	SRR10966119	passes the trimming step	used for transcript reconstruction	16576792/16576792	77.4595%	ISR
C. melo	SRR10966120	passes the trimming step	used for transcript reconstruction	18247809/18247809	78.1009%	ISR
C. melo	SRR10966121	passes the trimming step	used for transcript reconstruction	16583527/16583527	78.2021%	ISR
C. melo	SRR10966122	passes the trimming step	used for transcript reconstruction	16087005/16087005	73.1706%	ISR
C. melo	SRR10966123	passes the trimming step	used for transcript reconstruction	14290815/14290815	77.4864%	ISR
C. melo	SRR10966124	passes the trimming step	used for transcript reconstruction	19736476/19736476	72.4721%	ISR
C. melo	SRR10966125	passes the trimming step	used for transcript reconstruction	16054274/16054274	71.2565%	ISR
C. melo	SRR10966126	passes the trimming step	used for transcript reconstruction	18336489/18336489	73.5257%	ISR
C. melo	SRR10966127	passes the trimming step	used for transcript reconstruction	16442466/16442466	74.4701%	ISR
C. melo	SRR10966128	passes the trimming step	used for transcript reconstruction	14624897/14624897	81.0076%	ISR
C. melo	SRR10966129	passes the trimming step	used for transcript reconstruction	16569589/16569589	88.2896%	ISR
C. melo	SRR10966130	passes the trimming step	used for transcript reconstruction	13356516/13356516	79.1352%	ISR
C. melo	SRR10966131	passes the trimming step	used for transcript reconstruction	17369785/17369785	75.8881%	ISR
C. melo	SRR10966132	passes the trimming step	used for transcript reconstruction	22035265/22035265	78.162%	ISR
C. melo	SRR10966133	passes the trimming step	used for transcript reconstruction	17473158/17473158	78.0087%	ISR
C. melo	SRR10966134	passes the trimming step	used for transcript reconstruction	18260253/18260253	80.6584%	ISR
C. melo	SRR10966135	passes the trimming step	used for transcript reconstruction	17981413/17981413	80.2625%	ISR
C. melo	SRR10966136	passes the trimming step	used for transcript reconstruction	17250495/17250495	73.2333%	ISR
C. melo	SRR10966137	passes the trimming step	used for transcript reconstruction	18878758/18878758	74.4649%	ISR
C. melo	SRR10966138	passes the trimming step	used for transcript reconstruction	17146193/17146193	75.1701%	ISR
C. melo	SRR10966139	passes the trimming step	used for transcript reconstruction	18045724/18045724	72.485%	ISR
C. melo	SRR10966140	passes the trimming step	used for transcript reconstruction	14122781/14122781	86.7718%	ISR
C. melo	SRR10966141	passes the trimming step	used for transcript reconstruction	14108015/14108015	86.3854%	ISR
C. melo	SRR10966142	passes the trimming step	used for transcript reconstruction	16154988/16154988	86.2413%	ISR
C. melo	SRR10966143	passes the trimming step	used for transcript reconstruction	17230083/17230083	85.9026%	ISR
C. melo	SRR10966144	passes the trimming step	used for transcript reconstruction	13206232/13206232	85.446%	ISR
C. melo	SRR10966145	passes the trimming step	used for transcript reconstruction	12830409/12830409	85.6295%	ISR
C. melo	SRR10966146	passes the trimming step	used for transcript reconstruction	14366453/14366453	84.7911%	ISR
C. melo	SRR10966147	passes the trimming step	used for transcript reconstruction	16558805/16558805	86.6403%	ISR
C. melo	SRR10966148	passes the trimming step	used for transcript reconstruction	16206312/16206312	86.384%	ISR
C. melo	SRR10966149	passes the trimming step	used for transcript reconstruction	14324807/14324807	85.926%	ISR
C. melo	SRR10966150	passes the trimming step	used for transcript reconstruction	12908903/12908903	86.0766%	ISR
C. melo	SRR10966151	passes the trimming step	used for transcript reconstruction	16311912/16311912	85.2301%	ISR
C. melo	SRR10966152	passes the trimming step	used for transcript reconstruction	13695915/13695915	84.889%	ISR
C. melo	SRR10966153	passes the trimming step	used for transcript reconstruction	10953503/10953503	86.0082%	ISR
C. melo	SRR10966154	passes the trimming step	used for transcript reconstruction	14754666/14754666	85.0171%	ISR
C. melo	SRR10966155	passes the trimming step	used for transcript reconstruction	16751771/16751771	85.0648%	ISR
C. melo	SRR10966156	passes the trimming step	used for transcript reconstruction	13765105/13765105	83.3345%	ISR
C. melo	SRR10966157	passes the trimming step	used for transcript reconstruction	13512115/13512115	85.6331%	ISR
C. melo	SRR10966158	passes the trimming step	used for transcript reconstruction	13707202/13707202	84.8149%	ISR
C. melo	SRR10966159	passes the trimming step	used for transcript reconstruction	13895304/13895304	85.9419%	ISR
C. melo	SRR10966160	passes the trimming step	used for transcript reconstruction	13698974/13698974	86.5475%	ISR
C. melo	SRR10966161	passes the trimming step	used for transcript reconstruction	15712109/15712109	85.8451%	ISR
C. melo	SRR10966162	passes the trimming step	used for transcript reconstruction	12965379/12965379	85.4417%	ISR
C. melo	SRR10966163	passes the trimming step	used for transcript reconstruction	14726663/14726663	86.6891%	ISR
C. melo	SRR10966164	passes the trimming step	used for transcript reconstruction	15750897/15750897	86.4596%	ISR
C. melo	SRR10966165	passes the trimming step	used for transcript reconstruction	16605517/16605517	86.2619%	ISR
C. melo	SRR10966166	passes the trimming step	used for transcript reconstruction	16018269/16018269	86.3284%	ISR
C. melo	SRR10966167	passes the trimming step	used for transcript reconstruction	15661179/15661179	86.8924%	ISR
C. melo	SRR10966168	passes the trimming step	used for transcript reconstruction	15919812/15919812	86.4353%	ISR
C. melo	SRR10966169	passes the trimming step	used for transcript reconstruction	14205062/14205062	84.5652%	ISR
C. melo	SRR10966170	passes the trimming step	used for transcript reconstruction	14289887/14289887	85.7189%	ISR
C. melo	SRR10966171	passes the trimming step	used for transcript reconstruction	13906888/13906888	85.7655%	ISR
C. melo	SRR10966172	passes the trimming step	used for transcript reconstruction	15951111/15951111	85.1909%	ISR
C. melo	SRR10966173	passes the trimming step	used for transcript reconstruction	14618748/14618748	84.1332%	ISR
C. melo	SRR10966174	passes the trimming step	used for transcript reconstruction	14095720/14095720	83.6543%	ISR
C. melo	SRR10966175	passes the trimming step	used for transcript reconstruction	14597849/14597849	84.8808%	ISR
C. melo	SRR10966176	passes the trimming step	used for transcript reconstruction	12579606/12579606	86.1293%	ISR
C. melo	SRR10966177	passes the trimming step	used for transcript reconstruction	13305162/13305162	84.5601%	ISR
C. melo	SRR10966178	passes the trimming step	used for transcript reconstruction	13756654/13756654	85.4668%	ISR
C. melo	SRR10966179	passes the trimming step	used for transcript reconstruction	15319414/15319414	85.2364%	ISR
C. melo	SRR10966180	passes the trimming step	used for transcript reconstruction	14210739/14210739	85.9449%	ISR
C. melo	SRR10966181	passes the trimming step	used for transcript reconstruction	15257545/15257545	85.2062%	ISR
C. melo	SRR10966182	passes the trimming step	used for transcript reconstruction	14097048/14097048	87.715%	ISR
C. melo	SRR10966183	passes the trimming step	used for transcript reconstruction	13084198/13084198	87.1676%	ISR
C. melo	SRR10966184	passes the trimming step	used for transcript reconstruction	13931896/13931896	85.8595%	ISR
C. melo	SRR10966185	passes the trimming step	used for transcript reconstruction	15472631/15472631	85.7571%	ISR
C. melo	SRR10966354	passes the trimming step	not used for transcript reconstruction	9468627/9468627	85.0131%	IU
C. melo	SRR10966355	passes the trimming step	used for transcript reconstruction	25829883/25829883	80.2154%	ISR
C. melo	SRR10966356	passes the trimming step	used for transcript reconstruction	30585096/30585096	85.0352%	ISR
C. melo	SRR10966357	passes the trimming step	not used for transcript reconstruction	10124139/10124139	84.7956%	IU
C. melo	SRR10966358	passes the trimming step	not used for transcript reconstruction	10038639/10038639	84.8299%	IU
C. melo	SRR10966359	passes the trimming step	not used for transcript reconstruction	9173618/9173618	84.5129%	IU
C. melo	SRR10966360	passes the trimming step	not used for transcript reconstruction	9737682/9737682	86.7637%	IU
C. melo	SRR10966361	passes the trimming step	not used for transcript reconstruction	10494628/10494628	88.6476%	IU
C. melo	SRR10966362	passes the trimming step	used for transcript reconstruction	24170475/24170475	85.3158%	ISR
C. melo	SRR10966363	passes the trimming step	used for transcript reconstruction	29861292/29861292	86.1221%	ISR
C. melo	SRR10966364	passes the trimming step	used for transcript reconstruction	29164013/29164013	83.1637%	ISR
C. melo	SRR10966365	passes the trimming step	used for transcript reconstruction	25147815/25147815	83.7655%	ISR
C. melo	SRR10966366	passes the trimming step	not used for transcript reconstruction	9726249/9726249	86.0303%	IU
C. melo	SRR10966367	passes the trimming step	used for transcript reconstruction	25345703/25345703	84.8742%	ISR
C. melo	SRR10966368	passes the trimming step	used for transcript reconstruction	26545411/26545411	84.2891%	ISR
C. melo	SRR11149079	passes the trimming step	not used for transcript reconstruction	57614932/57614932	73.57%	IU
C. melo	SRR11149080	passes the trimming step	not used for transcript reconstruction	51662366/51662366	83.2994%	IU
C. melo	SRR11149081	passes the trimming step	not used for transcript reconstruction	56727000/56727000	80.2623%	IU
C. melo	SRR11149082	passes the trimming step	not used for transcript reconstruction	61901944/61901944	84.0184%	IU
C. melo	SRR11149083	passes the trimming step	not used for transcript reconstruction	20794437/20794437	84.8879%	IU
C. melo	SRR11149084	passes the trimming step	not used for transcript reconstruction	22404213/22404213	84.0528%	IU
C. melo	SRR11149085	passes the trimming step	not used for transcript reconstruction	24658646/24658646	84.528%	IU
C. melo	SRR11149086	passes the trimming step	not used for transcript reconstruction	24261247/24261247	83.629%	IU
C. melo	SRR11149087	passes the trimming step	not used for transcript reconstruction	20623744/20623744	84.5674%	IU
C. melo	SRR11149088	passes the trimming step	not used for transcript reconstruction	19990288/19990288	84.5669%	IU
C. melo	SRR11526728	doesn't pass the trimming step	NA	0	NA	NA
C. melo	SRR11573116	passes the trimming step	used for transcript reconstruction	19838190/19838190	81.0694%	ISR
C. melo	SRR11592938	passes the trimming step	not used for transcript reconstruction	27235937/27235937	87.1277%	IU
C. melo	SRR11592939	passes the trimming step	not used for transcript reconstruction	33795045/33795045	88.3236%	IU
C. melo	SRR11592940	passes the trimming step	not used for transcript reconstruction	29475801/29475801	87.0259%	IU
C. melo	SRR11592941	passes the trimming step	not used for transcript reconstruction	29872392/29872392	86.9367%	IU
C. melo	SRR11592942	passes the trimming step	not used for transcript reconstruction	25842217/25842217	87.3438%	IU
C. melo	SRR11592943	passes the trimming step	not used for transcript reconstruction	31371591/31371591	88.9037%	IU
C. melo	SRR11592944	passes the trimming step	not used for transcript reconstruction	28911928/28911928	88.8339%	IU
C. melo	SRR11592945	passes the trimming step	not used for transcript reconstruction	32139644/32139644	89.0395%	IU
C. melo	SRR11592946	passes the trimming step	not used for transcript reconstruction	28195209/28195209	88.9%	IU
C. melo	SRR11592947	passes the trimming step	not used for transcript reconstruction	26066417/26066417	87.7407%	IU
C. melo	SRR11592948	passes the trimming step	not used for transcript reconstruction	29310829/29310829	88.3689%	IU
C. melo	SRR11592949	passes the trimming step	not used for transcript reconstruction	29902776/29902776	88.7494%	IU
C. melo	SRR11592950	passes the trimming step	not used for transcript reconstruction	27944672/27944672	87.0645%	IU
C. melo	SRR11592951	passes the trimming step	not used for transcript reconstruction	30279776/30279776	86.0763%	IU
C. melo	SRR11592952	passes the trimming step	not used for transcript reconstruction	24827529/24827529	88.4246%	IU
C. melo	SRR12391141	passes the trimming step	not used for transcript reconstruction	58538044/58538044	53.7621%	IU
C. melo	SRR12391142	passes the trimming step	not used for transcript reconstruction	77756579/77756579	81.1847%	IU
C. melo	SRR12391143	passes the trimming step	not used for transcript reconstruction	65358485/65358485	56.808%	IU
C. melo	SRR12391144	passes the trimming step	not used for transcript reconstruction	58770302/58770302	81.5264%	IU
C. melo	SRR12391145	passes the trimming step	not used for transcript reconstruction	57407233/57407233	70.3904%	IU
C. melo	SRR12391146	passes the trimming step	not used for transcript reconstruction	68790379/68790379	79.6521%	IU
C. melo	SRR12391157	passes the trimming step	not used for transcript reconstruction	64057226/64057226	61.6649%	IU
C. melo	SRR12391158	passes the trimming step	not used for transcript reconstruction	57124155/57124155	78.9447%	IU
C. melo	SRR12405268	passes the trimming step	not used for transcript reconstruction	28038072/28038072	44.8964%	IU
C. melo	SRR12405269	passes the trimming step	not used for transcript reconstruction	20643920/20643920	45.8799%	IU
C. melo	SRR12405270	passes the trimming step	not used for transcript reconstruction	21231213/21231213	47.082%	IU
C. melo	SRR12405271	passes the trimming step	not used for transcript reconstruction	23823760/23823760	43.9104%	IU
C. melo	SRR12405272	passes the trimming step	not used for transcript reconstruction	21738236/21738236	41.6587%	IU
C. melo	SRR12405273	passes the trimming step	not used for transcript reconstruction	22125589/22125589	42.9399%	IU
