Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
C. sativus	ERR1352895	passes the trimming step	not used for transcript reconstruction	3176162	NA	NA
C. sativus	ERR662024	passes the trimming step	used for transcript reconstruction	10295196	39.6839%	SR
C. sativus	ERR662025	passes the trimming step	used for transcript reconstruction	14565194	37.4501%	SR
C. sativus	ERR662026	doesn't pass the trimming step	NA	33076	NA	NA
C. sativus	ERR662027	passes the trimming step	used for transcript reconstruction	13954578	36.3477%	SR
C. sativus	ERR662028	passes the trimming step	used for transcript reconstruction	14074278	33.3772%	SR
C. sativus	ERR662029	passes the trimming step	used for transcript reconstruction	13276931	41.8947%	SR
C. sativus	ERR662030	passes the trimming step	used for transcript reconstruction	12932612	51.7882%	SR
C. sativus	SRR10053801	passes the trimming step	not used for transcript reconstruction	24147852/24147852	87.5749%	IU
C. sativus	SRR10053802	passes the trimming step	not used for transcript reconstruction	24249065/24249065	85.5616%	IU
C. sativus	SRR10053803	passes the trimming step	not used for transcript reconstruction	24027401/24027401	85.7883%	IU
C. sativus	SRR10053804	passes the trimming step	not used for transcript reconstruction	24633930/24633930	84.8022%	IU
C. sativus	SRR10053805	passes the trimming step	not used for transcript reconstruction	23296499/23296499	86.6537%	IU
C. sativus	SRR10053806	passes the trimming step	not used for transcript reconstruction	22886049/22886049	87.2161%	IU
C. sativus	SRR10053807	passes the trimming step	not used for transcript reconstruction	22325581/22325581	80.9921%	IU
C. sativus	SRR10053808	passes the trimming step	not used for transcript reconstruction	24369140/24369140	86.883%	IU
C. sativus	SRR10053809	passes the trimming step	not used for transcript reconstruction	20235874/20235874	87.795%	IU
C. sativus	SRR10053810	passes the trimming step	not used for transcript reconstruction	24184929/24184929	81.3888%	IU
C. sativus	SRR10053811	passes the trimming step	not used for transcript reconstruction	24454025/24454025	83.9683%	IU
C. sativus	SRR10053812	passes the trimming step	not used for transcript reconstruction	24322738/24322738	86.5174%	IU
C. sativus	SRR10053813	passes the trimming step	not used for transcript reconstruction	20086200/20086200	80.8275%	IU
C. sativus	SRR10053814	passes the trimming step	not used for transcript reconstruction	19497458/19497458	84.5789%	IU
C. sativus	SRR10053815	passes the trimming step	not used for transcript reconstruction	22298862/22298862	82.8881%	IU
C. sativus	SRR10053816	passes the trimming step	not used for transcript reconstruction	26458033/26458033	80.4434%	IU
