Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
M. charantia	SRR10854702	passes the trimming step	not used for transcript reconstruction	28077581/28077581	66.7754%	IU
M. charantia	SRR10854703	passes the trimming step	not used for transcript reconstruction	23192090/23192090	65.9626%	IU
M. charantia	SRR10854704	passes the trimming step	not used for transcript reconstruction	26339933/26339933	66.5173%	IU
M. charantia	SRR10854705	passes the trimming step	not used for transcript reconstruction	24226754/24226754	67.6334%	IU
M. charantia	SRR10854706	passes the trimming step	not used for transcript reconstruction	24752272/24752272	64.8501%	IU
M. charantia	SRR10854707	passes the trimming step	not used for transcript reconstruction	24734540/24734540	67.0688%	IU
M. charantia	SRR10854708	passes the trimming step	not used for transcript reconstruction	26504777/26504777	68.2754%	IU
M. charantia	SRR10854709	passes the trimming step	not used for transcript reconstruction	23423596/23423596	66.804%	IU
M. charantia	SRR10854710	passes the trimming step	not used for transcript reconstruction	29802803/29802803	61.4504%	IU
M. charantia	SRR10854711	passes the trimming step	not used for transcript reconstruction	24510751/24510751	57.0598%	IU
M. charantia	SRR10854712	passes the trimming step	not used for transcript reconstruction	25366325/25366325	67.8325%	IU
M. charantia	SRR10854713	passes the trimming step	not used for transcript reconstruction	26293257/26293257	63.9629%	IU
M. charantia	SRR10854714	passes the trimming step	not used for transcript reconstruction	23801363/23801363	67.6292%	IU
M. charantia	SRR10854715	passes the trimming step	not used for transcript reconstruction	26930568/26930568	67.2213%	IU
M. charantia	SRR10854716	passes the trimming step	not used for transcript reconstruction	27226126/27226126	64.9015%	IU
M. charantia	SRR10854717	passes the trimming step	not used for transcript reconstruction	28289118/28289118	66.7589%	IU
M. charantia	SRR10854718	passes the trimming step	not used for transcript reconstruction	25085359/25085359	64.5978%	IU
M. charantia	SRR10854719	passes the trimming step	not used for transcript reconstruction	25929987/25929987	65.6524%	IU
M. charantia	SRR10854720	passes the trimming step	not used for transcript reconstruction	26445483/26445483	65.8279%	IU
M. charantia	SRR10854721	passes the trimming step	not used for transcript reconstruction	25868575/25868575	65.3836%	IU
M. charantia	SRR10854722	passes the trimming step	not used for transcript reconstruction	26105055/26105055	65.4841%	IU
M. charantia	SRR10854723	passes the trimming step	not used for transcript reconstruction	25553061/25553061	66.4285%	IU
M. charantia	SRR10854724	passes the trimming step	not used for transcript reconstruction	24201008/24201008	66.797%	IU
M. charantia	SRR10854725	passes the trimming step	not used for transcript reconstruction	23792918/23792918	66.8469%	IU
M. charantia	SRR10854726	passes the trimming step	not used for transcript reconstruction	30499285/30499285	67.0477%	IU
M. charantia	SRR10854727	passes the trimming step	not used for transcript reconstruction	23974400/23974400	67.1899%	IU
M. charantia	SRR10854728	passes the trimming step	not used for transcript reconstruction	25850971/25850971	66.2435%	IU
M. charantia	SRR10854729	passes the trimming step	not used for transcript reconstruction	26359311/26359311	66.5304%	IU
M. charantia	SRR10854730	passes the trimming step	not used for transcript reconstruction	26992456/26992456	66.661%	IU
M. charantia	SRR10854731	passes the trimming step	not used for transcript reconstruction	24803173/24803173	68.1326%	IU
M. charantia	SRR10854732	passes the trimming step	not used for transcript reconstruction	26858013/26858013	66.807%	IU
M. charantia	SRR10854733	passes the trimming step	not used for transcript reconstruction	29514414/29514414	66.8983%	IU
M. charantia	SRR10854734	passes the trimming step	not used for transcript reconstruction	27135630/27135630	66.8607%	IU
M. charantia	SRR10854735	passes the trimming step	not used for transcript reconstruction	24757987/24757987	67.3351%	IU
M. charantia	SRR10854736	passes the trimming step	not used for transcript reconstruction	24224274/24224274	67.9854%	IU
M. charantia	SRR10854737	passes the trimming step	not used for transcript reconstruction	25442325/25442325	66.5051%	IU
M. charantia	SRR10854738	passes the trimming step	not used for transcript reconstruction	23944911/23944911	67.2975%	IU
M. charantia	SRR10854739	passes the trimming step	not used for transcript reconstruction	26897134/26897134	66.9038%	IU
M. charantia	SRR10854740	passes the trimming step	not used for transcript reconstruction	25878455/25878455	65.5437%	IU
M. charantia	SRR10854741	passes the trimming step	not used for transcript reconstruction	26290883/26290883	66.63%	IU
M. charantia	SRR10854742	passes the trimming step	not used for transcript reconstruction	24392331/24392331	65.3621%	IU
M. charantia	SRR10854743	passes the trimming step	not used for transcript reconstruction	25363703/25363703	67.4594%	IU
M. charantia	SRR10854744	passes the trimming step	not used for transcript reconstruction	29632155/29632155	66.2022%	IU
M. charantia	SRR10854745	passes the trimming step	not used for transcript reconstruction	26706146/26706146	67.9294%	IU
M. charantia	SRR10854746	passes the trimming step	not used for transcript reconstruction	26767452/26767452	66.9647%	IU
M. charantia	SRR10854747	passes the trimming step	not used for transcript reconstruction	27665680/27665680	66.9681%	IU
M. charantia	SRR10854748	passes the trimming step	not used for transcript reconstruction	30159831/30159831	66.1607%	IU
M. charantia	SRR10854749	passes the trimming step	not used for transcript reconstruction	30105973/30105973	66.7928%	IU
