Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
L. siceraria	SRR10251169	passes the trimming step	not used for transcript reconstruction	18168090/18168090	63.9959%	IU
L. siceraria	SRR10251174	passes the trimming step	not used for transcript reconstruction	11083242/11083242	80.5097%	IU
L. siceraria	SRR10251176	passes the trimming step	not used for transcript reconstruction	22989658/22989658	71.9538%	IU
L. siceraria	SRR10251177	passes the trimming step	not used for transcript reconstruction	22753774/22753774	77.9181%	IU
L. siceraria	SRR10251178	passes the trimming step	not used for transcript reconstruction	17874347/17874347	77.9504%	IU
L. siceraria	SRR10251179	passes the trimming step	not used for transcript reconstruction	17898625/17898625	74.0213%	IU
L. siceraria	SRR10251180	passes the trimming step	not used for transcript reconstruction	16723909/16723909	57.1634%	IU
L. siceraria	SRR10251181	passes the trimming step	not used for transcript reconstruction	17356670/17356670	76.8841%	IU
L. siceraria	SRR11573067	passes the trimming step	used for transcript reconstruction	17887518/17887518	75.8742%	ISR
L. siceraria	SRR11573068	passes the trimming step	used for transcript reconstruction	24140952/24140952	72.4989%	ISR
L. siceraria	SRR1653291	passes the trimming step	not used for transcript reconstruction	14647034/14647034	62.6748%	IU
L. siceraria	SRR5199334	passes the trimming step	not used for transcript reconstruction	15096460/15096460	76.0942%	IU
L. siceraria	SRR5199335	passes the trimming step	not used for transcript reconstruction	17403863/17403863	75.6099%	IU
L. siceraria	SRR5199336	passes the trimming step	not used for transcript reconstruction	15540901/15540901	76.0795%	IU
L. siceraria	SRR5199337	passes the trimming step	not used for transcript reconstruction	8687642/8687642	73.4503%	IU
L. siceraria	SRR5199338	passes the trimming step	not used for transcript reconstruction	18621203/18621203	76.0454%	IU
L. siceraria	SRR5199339	passes the trimming step	not used for transcript reconstruction	22290004/22290004	69.0248%	IU
L. siceraria	SRR5199340	passes the trimming step	not used for transcript reconstruction	27433981/27433981	68.8797%	IU
L. siceraria	SRR5199341	passes the trimming step	not used for transcript reconstruction	26696306/26696306	69.8216%	IU
L. siceraria	SRR5199342	passes the trimming step	not used for transcript reconstruction	24096167/24096167	75.2094%	IU
L. siceraria	SRR5199343	passes the trimming step	not used for transcript reconstruction	29379994/29379994	75.1088%	IU
L. siceraria	SRR5199344	passes the trimming step	not used for transcript reconstruction	19861225/19861225	76.9002%	IU
L. siceraria	SRR5199345	passes the trimming step	not used for transcript reconstruction	14314641/14314641	74.2035%	IU
L. siceraria	SRR5199346	passes the trimming step	not used for transcript reconstruction	17203670/17203670	73.7552%	IU
L. siceraria	SRR5199347	passes the trimming step	not used for transcript reconstruction	24767118/24767118	75.116%	IU
L. siceraria	SRR5199348	passes the trimming step	not used for transcript reconstruction	18511581/18511581	75.209%	IU
L. siceraria	SRR5199349	passes the trimming step	not used for transcript reconstruction	16490419/16490419	74.589%	IU
