ID_transcript	Chr	Origin	Start	End	Strand	ID_Gene	Class_code	Exons	Length	GC	CPC2	CPAT	FEELnc	SwissProt	Pfam	ORF.80	ORF.100	ORF.120	RNAcentral_rRNA	RNAcentral_tRNA	RNAcentral_snRNA	RNAcentral_snoRNA	miRBase	PmiREN	CANTATAdb	PLncDB	GreeNC	Ns	CGAT	Significance_level	ID
MSTRG.1.1	chr1	StringTie	5882	6231	+	MSTRG.1	u	1	350	47.4285714285714	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	CSA-LNC1
MSTRG.10002.4	chr2	StringTie	20615955	20620621	-	MSTRG.10002	x	3	4014	38.9636273044345	C	NC	NC	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	Medium	CSA-LNC5
MSTRG.10008.1	chr2	StringTie	20630581	20641244	-	MSTRG.10008	x	1	10664	36.7873218304576	NC	NC	NC	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	YES	YES	YES	0	non-redundant	High	CSA-LNC7
MSTRG.10011.3	chr2	StringTie	20687228	20687949	-	MSTRG.10011	o	2	467	37.6873661670236	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC14
MSTRG.1002.1	chr1	StringTie	4219252	4219467	+	MSTRG.1002	u	1	216	31.9444444444444	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC15
MSTRG.10022.2	chr2	StringTie	20708664	20723279	+	MSTRG.10022	x	7	1824	43.0372807017544	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	YES	0	non-redundant	High	CSA-LNC17
MSTRG.10034.1	chr2	StringTie	20760830	20761468	-	MSTRG.10034	i	2	317	37.8548895899054	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	High	CSA-LNC21
MSTRG.10039.2	chr2	StringTie	20801221	20802105	-	MSTRG.10039	x	2	439	42.5968109339408	NC	NC	NC	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	YES	0	non-redundant	High	CSA-LNC23
MSTRG.10041.1	chr2	StringTie	20807843	20808542	+	MSTRG.10041	x	2	516	37.5968992248062	NC	NC	NC	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	High	CSA-LNC24
MSTRG.10054.6	chr2	StringTie	20922994	20923901	-	MSTRG.10054	u	2	521	37.8119001919386	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC25
MSTRG.10059.1	chr2	StringTie	20933593	20938194	-	MSTRG.10059	x	3	890	36.9662921348315	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC26
MSTRG.1006.1	chr1	StringTie	4232720	4233058	-	MSTRG.1006	u	1	339	25.9587020648968	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC27
MSTRG.10065.1	chr2	StringTie	20967778	20968489	-	MSTRG.10065	u	1	712	30.6179775280899	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	High	CSA-LNC28
