Chr	Origin	Start	End	Strand	ID_transcript	ID_Gene	Class_code	Exons	Length	GC
scaffold110	EVM	8211	9275	+	CsaV3_UNG224630.1	CsaV3_UNG224630		4	432	40.27777777777778
scaffold110	EVM	10419	10980	+	CsaV3_UNG224640.1	CsaV3_UNG224640		2	393	37.913486005089055
scaffold110	EVM	24862	26674	-	CsaV3_UNG224650.1	CsaV3_UNG224650		5	597	43.04857621440536
scaffold110	EVM	39409	39744	+	CsaV3_UNG224660.1	CsaV3_UNG224660		1	336	47.61904761904762
scaffold110	EVM	40255	41272	+	CsaV3_UNG224670.1	CsaV3_UNG224670		4	390	41.794871794871796
scaffold110	EVM	42451	43012	+	CsaV3_UNG224680.1	CsaV3_UNG224680		2	393	38.16793893129771
scaffold110	ALN	44855	45525	+	CsaV3_UNG224690.1	CsaV3_UNG224690		4	483	50.5175983436853
scaffold110	EVM	51575	51919	-	CsaV3_UNG224700.1	CsaV3_UNG224700		1	345	50.72463768115942
scaffold110	EVM	56518	56652	-	CsaV3_UNG224710.1	CsaV3_UNG224710		1	135	52.592592592592595
scaffold110	EVM	58435	58665	-	CsaV3_UNG224720.1	CsaV3_UNG224720		1	231	50.64935064935065
scaffold110	EVM	61251	61545	-	CsaV3_UNG224730.1	CsaV3_UNG224730		1	295	52.20338983050848
scaffold110	EVM	62482	65315	+	CsaV3_UNG224740.1	CsaV3_UNG224740		3	315	42.22222222222222
scaffold110	EVM	108379	108564	+	CsaV3_UNG224750.1	CsaV3_UNG224750		1	186	61.82795698924731
chr5	ALN	14132	14528	+	CsaV3_5G000010.1	CsaV3_5G000010		2	312	47.756410256410255
chr5	.	18479	29620	+	CsaV3_5G000020.1	CsaV3_5G000020		16	3724	42.56176154672395
chr5	.	31873	35517	+	CsaV3_5G000030.1	CsaV3_5G000030		2	860	38.72093023255814
chr5	.	35597	38762	+	CsaV3_5G000040.1	CsaV3_5G000040		2	2911	40.87942287873583
chr5	.	35742	38762	-	CsaV3_5G000050.1	CsaV3_5G000050		2	2904	41.32231404958678
chr5	EVM	42116	42421	+	CsaV3_5G000060.1	CsaV3_5G000060		1	306	39.21568627450981
chr5	EVM	42567	51326	+	CsaV3_5G000070.1	CsaV3_5G000070		12	912	48.24561403508772
chr5	ALN	52804	53285	+	CsaV3_5G000080.1	CsaV3_5G000080		4	252	45.63492063492063
chr5	EVM	54545	59025	+	CsaV3_5G000090.1	CsaV3_5G000090		8	2091	44.38067910090866
chr5	.	61088	66538	-	CsaV3_5G000100.1	CsaV3_5G000100		3	3967	42.19813461053693
chr5	EVM	62153	62791	+	CsaV3_5G000110.1	CsaV3_5G000110		1	639	50.70422535211268
chr5	ALN	67592	67888	+	CsaV3_5G000120.1	CsaV3_5G000120		1	297	40.4040404040404
chr5	EVM	67945	73484	+	CsaV3_5G000130.1	CsaV3_5G000130		2	1236	46.03559870550162
chr5	EVM	75474	82363	+	CsaV3_5G000140.1	CsaV3_5G000140		9	1626	41.26691266912669
chr5	.	75640	90027	-	CsaV3_5G000150.1	CsaV3_5G000150		6	10490	37.09246901811249
chr5	EVM	83749	84054	+	CsaV3_5G000160.1	CsaV3_5G000160		1	306	53.26797385620915
chr5	EVM	91393	94287	+	CsaV3_5G000170.1	CsaV3_5G000170		13	1767	44.086021505376344
chr5	.	94865	96249	-	CsaV3_5G000180.1	CsaV3_5G000180		2	1280	39.53125
chr5	ALN	95552	95848	+	CsaV3_5G000190.1	CsaV3_5G000190		1	297	46.464646464646464
chr5	.	98262	102628	+	CsaV3_5G000200.1	CsaV3_5G000200		5	3172	40.38461538461539
chr5	.	99876	102581	-	CsaV3_5G000210.1	CsaV3_5G000210		9	1623	43.19162045594578
chr5	EVM	103299	104833	+	CsaV3_5G000220.1	CsaV3_5G000220		3	762	44.750656167979
chr5	EVM	105623	108214	+	CsaV3_5G000230.1	CsaV3_5G000230		3	966	47.515527950310556
chr5	.	110338	115862	+	CsaV3_5G000240.1	CsaV3_5G000240		5	2994	41.58316633266533
chr5	EVM	116589	118084	-	CsaV3_5G000250.1	CsaV3_5G000250		3	405	40.98765432098765
chr5	EVM	119228	120993	-	CsaV3_5G000260.1	CsaV3_5G000260		4	1473	48.13306177868296
chr5	.	121858	125967	+	CsaV3_5G000270.1	CsaV3_5G000270		3	2823	38.85936946510804
chr5	EVM	125300	128763	-	CsaV3_5G000280.1	CsaV3_5G000280		7	2163	42.302357836338416
chr5	.	137974	142373	-	CsaV3_5G000290.1	CsaV3_5G000290		6	3239	40.56807656684162
chr5	.	146419	149861	+	CsaV3_5G000300.1	CsaV3_5G000300		2	3119	34.690605963449826
chr5	.	151480	155143	-	CsaV3_5G000310.1	CsaV3_5G000310		6	1966	39.42014242115972
chr5	ALN	155828	156433	+	CsaV3_5G000320.1	CsaV3_5G000320		2	312	41.34615384615385
chr5	EVM	157878	158468	-	CsaV3_5G000330.1	CsaV3_5G000330		2	321	45.794392523364486
chr5	EVM	160273	161075	-	CsaV3_5G000340.1	CsaV3_5G000340		2	318	40.880503144654085
chr5	EVM	162609	166332	-	CsaV3_5G000350.1	CsaV3_5G000350		8	1380	44.20289855072464
chr5	EVM	168085	169515	-	CsaV3_5G000360.1	CsaV3_5G000360		1	1431	47.09993011879804
chr5	EVM	170762	173281	-	CsaV3_5G000370.1	CsaV3_5G000370		5	1179	46.734520780322306
chr5	.	175299	179887	+	CsaV3_5G000380.1	CsaV3_5G000380		3	3892	42.214799588900306
chr5	.	180422	187525	+	CsaV3_5G000390.1	CsaV3_5G000390		6	1747	43.10246136233543
chr5	.	189412	192755	+	CsaV3_5G000400.1	CsaV3_5G000400		2	3246	41.99014171287739
chr5	.	190057	195485	-	CsaV3_5G000410.1	CsaV3_5G000410		3	5207	40.003840983291724
chr5	ALN	192804	193055	+	CsaV3_5G000420.1	CsaV3_5G000420		1	252	46.42857142857143
chr5	.	198022	203299	+	CsaV3_5G000430.1	CsaV3_5G000430		10	3049	39.19317809117744
chr5	.	204063	216450	-	CsaV3_5G000440.1	CsaV3_5G000440		3	5724	35.91893780573026
chr5	EVM	205265	207157	+	CsaV3_5G000450.1	CsaV3_5G000450		2	1293	41.453982985305494
chr5	EVM	208526	212373	+	CsaV3_5G000460.1	CsaV3_5G000460		10	1209	45.16129032258065
chr5	.	217410	219727	-	CsaV3_5G000470.1	CsaV3_5G000470		3	1520	42.23684210526316
