Chr	Origin	Start	End	Strand	ID_transcript	ID_Gene	Class_code	Exons	Length	GC
chr01	maker	1929	20674	+	Lsi01G000010.1	Lsi01G000010		12	2223	39.58614484930274
chr01	maker	54019	68058	+	Lsi01G000020.1	Lsi01G000020		22	3164	42.0353982300885
chr01	maker	70732	95190	+	Lsi01G000030.1	Lsi01G000030		10	2187	38.91175125743027
chr01	maker	97300	104162	-	Lsi01G000040.1	Lsi01G000040		17	3200	42.6875
chr01	maker	104217	109301	+	Lsi01G000050.1	Lsi01G000050		10	1423	43.00773014757554
chr01	maker	112335	114713	-	Lsi01G000060.1	Lsi01G000060		2	2247	48.37561192701379
chr01	maker	119370	123524	-	Lsi01G000070.1	Lsi01G000070		6	3571	43.29319518342201
chr01	maker	127854	128981	+	Lsi01G000080.1	Lsi01G000080		2	1015	41.18226600985221
chr01	maker	134123	144801	-	Lsi01G000090.1	Lsi01G000090		9	1022	41.68297455968689
chr01	maker	152725	168105	-	Lsi01G000100.1	Lsi01G000100		6	1099	42.49317561419472
chr01	maker	172363	173205	-	Lsi01G000110.1	Lsi01G000110		1	843	43.5349940688019
chr01	maker	179004	181398	+	Lsi01G000120.1	Lsi01G000120		3	1365	42.857142857142854
chr01	maker	182238	184500	+	Lsi01G000130.1	Lsi01G000130		2	1179	42.23918575063613
chr01	maker	193339	198206	+	Lsi01G000140.1	Lsi01G000140		13	2670	42.39700374531835
chr01	maker	200129	215664	+	Lsi01G000150.1	Lsi01G000150		16	4702	40.68481497235219
chr01	maker	215008	225838	-	Lsi01G000160.1	Lsi01G000160		10	1614	38.847583643122675
chr01	maker	227553	231574	+	Lsi01G000170.1	Lsi01G000170		8	2210	40.95022624434389
chr01	maker	234847	242083	-	Lsi01G000180.1	Lsi01G000180		6	2000	41.5
chr01	maker	247291	248055	+	Lsi01G000190.1	Lsi01G000190		2	200	46.0
chr01	maker	248077	252482	+	Lsi01G000200.1	Lsi01G000200		4	2202	42.37057220708447
chr01	maker	254840	258141	-	Lsi01G000210.1	Lsi01G000210		9	1343	40.13402829486225
chr01	maker	259234	263102	-	Lsi01G000220.1	Lsi01G000220		4	1137	43.79947229551451
chr01	maker	266073	281474	-	Lsi01G000230.1	Lsi01G000230		22	4760	42.16386554621849
chr01	maker	282681	285109	-	Lsi01G000240.1	Lsi01G000240		4	1149	42.47171453437772
chr01	maker	286398	298031	+	Lsi01G000250.1	Lsi01G000250		15	2317	44.842468709538196
chr01	maker	300099	318342	+	Lsi01G000260.1	Lsi01G000260		19	3881	43.23627930945633
chr01	maker	320358	322099	+	Lsi01G000270.1	Lsi01G000270		6	1172	45.051194539249146
chr01	maker	326870	329258	+	Lsi01G000280.1	Lsi01G000280		5	186	43.54838709677419
chr01	maker	329456	334194	+	Lsi01G000290.1	Lsi01G000290		5	396	44.19191919191919
chr01	maker	336558	347166	+	Lsi01G000300.1	Lsi01G000300		17	5229	39.49129852744311
chr01	maker	353143	356277	+	Lsi01G000310.1	Lsi01G000310		2	3049	43.55526402099049
chr01	maker	357595	357984	-	Lsi01G000320.1	Lsi01G000320		1	390	53.84615384615385
chr01	maker	373081	375860	+	Lsi01G000330.1	Lsi01G000330		8	1330	43.1578947368421
chr01	maker	375882	385700	-	Lsi01G000340.1	Lsi01G000340		16	2942	40.380693405846365
chr01	maker	376925	384124	+	Lsi01G000350.1	Lsi01G000350		14	1110	38.73873873873874
chr01	maker	400486	403114	+	Lsi01G000360.1	Lsi01G000360		3	1401	39.32905067808708
chr01	maker	411671	425307	-	Lsi01G000370.1	Lsi01G000370		14	1933	43.7661665804449
chr01	maker	431400	438193	+	Lsi01G000380.1	Lsi01G000380		11	4090	41.955990220048896
chr01	maker	446290	446838	+	Lsi01G000390.1	Lsi01G000390		1	549	57.923497267759565
chr01	maker	450485	455321	+	Lsi01G000400.1	Lsi01G000400		4	1475	43.389830508474574
chr01	maker	454432	454938	-	Lsi01G000410.1	Lsi01G000410		1	507	48.323471400394475
chr01	maker	456275	460259	-	Lsi01G000420.1	Lsi01G000420		3	1900	44.10526315789474
chr01	maker	469731	475257	+	Lsi01G000430.1	Lsi01G000430		11	2231	42.94038547736441
chr01	maker	476572	488853	+	Lsi01G000440.1	Lsi01G000440		10	2250	41.86666666666667
chr01	maker	489585	503339	-	Lsi01G000450.1	Lsi01G000450		15	2032	43.30708661417323
chr01	maker	508453	545191	+	Lsi01G000460.1	Lsi01G000460		55	6919	41.82685359155948
chr01	maker	547988	550631	-	Lsi01G000470.1	Lsi01G000470		3	1950	44.05128205128205
chr01	maker	585621	586591	+	Lsi01G000480.1	Lsi01G000480		2	306	50.326797385620914
chr01	maker	586970	594291	+	Lsi01G000490.1	Lsi01G000490		19	2184	40.65934065934066
chr01	maker	604891	605526	+	Lsi01G000500.1	Lsi01G000500		1	636	36.79245283018868
chr01	maker	614237	614836	+	Lsi01G000510.1	Lsi01G000510		1	600	38.333333333333336
chr01	maker	620325	626238	+	Lsi01G000520.1	Lsi01G000520		8	1459	42.01507882111035
chr01	maker	627737	629437	-	Lsi01G000530.1	Lsi01G000530		1	1701	48.500881834215164
chr01	maker	633140	634753	-	Lsi01G000540.1	Lsi01G000540		1	1614	43.6183395291202
chr01	maker	654151	655863	+	Lsi01G000550.1	Lsi01G000550		2	1596	43.796992481203006
chr01	maker	657656	659555	+	Lsi01G000560.1	Lsi01G000560		2	1638	43.772893772893774
chr01	maker	660021	661586	+	Lsi01G000570.1	Lsi01G000570		1	1566	43.16730523627076
chr01	maker	669586	671181	+	Lsi01G000580.1	Lsi01G000580		1	1596	48.99749373433584
chr01	maker	672289	674664	+	Lsi01G000590.1	Lsi01G000590		5	1884	44.745222929936304
chr01	maker	676094	677875	+	Lsi01G000600.1	Lsi01G000600		2	1665	42.16216216216216
chr01	maker	678425	682584	-	Lsi01G000610.1	Lsi01G000610		7	1552	40.59278350515464
chr01	maker	684270	688225	-	Lsi01G000620.1	Lsi01G000620		10	1603	40.860885839051775
chr01	maker	691240	692505	-	Lsi01G000630.1	Lsi01G000630		1	1266	46.287519747235386
chr01	maker	700849	702326	+	Lsi01G000640.1	Lsi01G000640		2	965	39.689119170984455
chr01	maker	704459	705822	+	Lsi01G000650.1	Lsi01G000650		2	966	42.44306418219462
chr01	maker	709390	709864	+	Lsi01G000660.1	Lsi01G000660		3	444	45.945945945945944
chr01	maker	711331	714792	+	Lsi01G000670.1	Lsi01G000670		6	1212	43.72937293729373
chr01	maker	719484	720631	+	Lsi01G000680.1	Lsi01G000680		2	930	40.43010752688172
chr01	maker	723595	724586	+	Lsi01G000690.1	Lsi01G000690		2	875	40.114285714285714
chr01	maker	729432	730922	+	Lsi01G000700.1	Lsi01G000700		2	576	44.270833333333336
chr01	maker	731682	732747	-	Lsi01G000710.1	Lsi01G000710		2	985	39.28934010152284
chr01	maker	734614	735727	+	Lsi01G000720.1	Lsi01G000720		2	855	38.59649122807018
chr01	maker	737296	739120	+	Lsi01G000730.1	Lsi01G000730		8	1032	41.666666666666664
chr01	maker	739636	742182	-	Lsi01G000740.1	Lsi01G000740		1	2547	42.99175500588928
chr01	maker	748221	748948	-	Lsi01G000750.1	Lsi01G000750		4	204	41.1764705882353
chr01	maker	748958	754572	-	Lsi01G000760.1	Lsi01G000760		7	3048	37.07349081364829
chr01	maker	757074	761768	-	Lsi01G000770.1	Lsi01G000770		8	954	49.266247379454924
chr01	maker	775645	777454	+	Lsi01G000780.1	Lsi01G000780		3	885	48.92655367231639
chr01	maker	783606	783970	-	Lsi01G000790.1	Lsi01G000790		2	237	41.35021097046413
chr01	maker	787142	793514	-	Lsi01G000800.1	Lsi01G000800		11	2374	42.79696714406066
chr01	maker	797554	797964	+	Lsi01G000810.1	Lsi01G000810		1	411	50.12165450121655
chr01	maker	798897	803353	-	Lsi01G000820.1	Lsi01G000820		8	1292	38.0030959752322
chr01	maker	809182	812832	-	Lsi01G000830.1	Lsi01G000830		8	1473	43.17718940936864
chr01	maker	819804	825552	+	Lsi01G000840.1	Lsi01G000840		9	2608	37.9601226993865
chr01	maker	832790	839649	+	Lsi01G000850.1	Lsi01G000850		18	4134	43.05757135945815
chr01	maker	842874	843197	-	Lsi01G000860.1	Lsi01G000860		1	324	44.75308641975309
chr01	maker	847907	848924	-	Lsi01G000870.1	Lsi01G000870		2	894	52.68456375838926
chr01	maker	853604	864365	+	Lsi01G000880.1	Lsi01G000880		12	1518	39.32806324110672
chr01	maker	866475	871685	+	Lsi01G000890.1	Lsi01G000890		9	2101	40.218943360304614
chr01	maker	874798	914218	+	Lsi01G000900.1	Lsi01G000900		38	5909	42.189879844305295
chr01	maker	915570	920779	-	Lsi01G000910.1	Lsi01G000910		13	2934	41.61554192229039
chr01	maker	934636	937860	-	Lsi01G000920.1	Lsi01G000920		1	3225	42.666666666666664
chr01	maker	942452	960044	-	Lsi01G000930.1	Lsi01G000930		24	4626	39.79680069174233
chr01	maker	961051	963801	-	Lsi01G000940.1	Lsi01G000940		3	210	37.142857142857146
chr01	maker	963882	965025	-	Lsi01G000950.1	Lsi01G000950		4	525	40.0
chr01	maker	966025	977438	-	Lsi01G000960.1	Lsi01G000960		8	1041	40.53794428434198
chr01	maker	975508	979255	+	Lsi01G000970.1	Lsi01G000970		7	1728	40.567129629629626
chr01	maker	982512	1008050	-	Lsi01G000980.1	Lsi01G000980		25	3945	40.963244613434725
chr01	maker	1009790	1012435	-	Lsi01G000990.1	Lsi01G000990		6	824	40.4126213592233
chr01	maker	1018922	1028913	-	Lsi01G001000.1	Lsi01G001000		9	2752	40.625
chr01	maker	1030904	1062020	-	Lsi01G001010.1	Lsi01G001010		21	3104	41.527061855670105
chr01	maker	1075895	1080450	-	Lsi01G001020.1	Lsi01G001020		10	1764	42.80045351473923
chr01	maker	1082870	1085223	-	Lsi01G001030.1	Lsi01G001030		4	1171	42.78394534585824
chr01	maker	1085424	1095468	-	Lsi01G001040.1	Lsi01G001040		13	5116	41.75136825645035
chr01	snap_masked	1095674	1100184	+	Lsi01G001050.1	Lsi01G001050		4	585	45.47008547008547
chr01	maker	1097576	1100474	-	Lsi01G001060.1	Lsi01G001060		3	1419	41.86046511627907
chr01	maker	1102432	1108350	-	Lsi01G001070.1	Lsi01G001070		8	2238	41.063449508489725
chr01	maker	1130553	1131654	-	Lsi01G001080.1	Lsi01G001080		3	704	43.18181818181818
chr01	maker	1141696	1147186	-	Lsi01G001090.1	Lsi01G001090		3	1599	44.15259537210757
chr01	maker	1148086	1151808	+	Lsi01G001100.1	Lsi01G001100		9	1081	40.51803885291397
chr01	maker	1153248	1153679	-	Lsi01G001110.1	Lsi01G001110		1	432	43.51851851851852
chr01	maker	1154797	1160672	-	Lsi01G001120.1	Lsi01G001120		4	2139	43.24450677886863
chr01	maker	1163057	1167129	-	Lsi01G001130.1	Lsi01G001130		6	2874	41.61447459986082
chr01	maker	1174170	1179970	-	Lsi01G001140.1	Lsi01G001140		9	3183	40.810556079170595
chr01	maker	1184720	1199659	+	Lsi01G001150.1	Lsi01G001150		11	1987	42.979365878208355
chr01	maker	1225345	1230878	+	Lsi01G001160.1	Lsi01G001160		16	3253	45.46572394712573
chr01	maker	1233076	1236646	-	Lsi01G001170.1	Lsi01G001170		6	2467	43.04823672476692
chr01	maker	1243264	1248997	+	Lsi01G001180.1	Lsi01G001180		5	309	41.74757281553398
chr01	maker	1247098	1250014	-	Lsi01G001190.1	Lsi01G001190		5	696	46.839080459770116
chr01	maker	1249452	1251966	+	Lsi01G001200.1	Lsi01G001200		4	492	47.764227642276424
chr01	maker	1251971	1254514	+	Lsi01G001210.1	Lsi01G001210		1	2544	39.465408805031444
chr01	maker	1266166	1269136	+	Lsi01G001220.1	Lsi01G001220		6	1462	47.40082079343365
chr01	maker	1270364	1281804	-	Lsi01G001230.1	Lsi01G001230		14	2332	40.82332761578044
chr01	maker	1284522	1290630	-	Lsi01G001240.1	Lsi01G001240		14	2273	40.123185217773866
chr01	maker	1306649	1313080	+	Lsi01G001250.1	Lsi01G001250		10	1898	44.25711275026344
chr01	maker	1315486	1323292	-	Lsi01G001260.1	Lsi01G001260		9	1565	38.91373801916933
chr01	maker	1324872	1326658	-	Lsi01G001270.1	Lsi01G001270		3	639	40.5320813771518
chr01	maker	1327459	1330037	-	Lsi01G001280.1	Lsi01G001280		3	582	51.202749140893474
chr01	maker	1330979	1334178	+	Lsi01G001290.1	Lsi01G001290		4	1043	41.80249280920422
chr01	maker	1334855	1339621	-	Lsi01G001300.1	Lsi01G001300		9	2362	40.135478408128705
chr01	maker	1356015	1356386	-	Lsi01G001310.1	Lsi01G001310		1	372	48.655913978494624
chr01	maker	1358013	1360415	-	Lsi01G001320.1	Lsi01G001320		4	1004	40.43824701195219
chr01	maker	1368575	1369936	+	Lsi01G001330.1	Lsi01G001330		1	1362	49.559471365638764
chr01	maker	1378660	1379883	-	Lsi01G001340.1	Lsi01G001340		1	1224	46.73202614379085
chr01	maker	1383031	1391573	-	Lsi01G001350.1	Lsi01G001350		8	5059	38.367266258153784
chr01	maker	1397538	1401743	+	Lsi01G001360.1	Lsi01G001360		13	1894	43.82259767687434
chr01	maker	1401766	1406551	+	Lsi01G001370.1	Lsi01G001370		5	865	39.30635838150289
chr01	maker	1419982	1421516	-	Lsi01G001380.1	Lsi01G001380		2	891	37.59820426487093
chr01	maker	1429725	1435472	-	Lsi01G001390.1	Lsi01G001390		6	1238	42.64943457189015
chr01	maker	1451654	1453447	-	Lsi01G001400.1	Lsi01G001400		1	1794	47.43589743589744
chr01	maker	1472159	1472608	+	Lsi01G001410.1	Lsi01G001410		2	336	47.32142857142857
chr01	maker	1475248	1475592	+	Lsi01G001420.1	Lsi01G001420		1	345	49.56521739130435
chr01	maker	1485707	1489954	+	Lsi01G001430.1	Lsi01G001430		4	1443	34.58073458073458
chr01	maker	1492846	1494546	-	Lsi01G001440.1	Lsi01G001440		3	755	39.33774834437086
chr01	maker	1493934	1495153	+	Lsi01G001450.1	Lsi01G001450		5	291	46.04810996563574
chr01	maker	1495834	1500571	+	Lsi01G001460.1	Lsi01G001460		4	531	42.18455743879473
chr01	maker	1496599	1501305	-	Lsi01G001470.1	Lsi01G001470		7	964	40.560165975103736
