Chr	Origin	Start	End	Strand	ID_transcript	ID_Gene	Class_code	Exons	Length	GC
Cma_Chr00	maker	55660	57727	+	CmaCh00G000010.1	CmaCh00G000010		6	726	44.62809917355372
Cma_Chr00	maker	57731	63801	+	CmaCh00G000020.1	CmaCh00G000020		5	1443	44.55994455994456
Cma_Chr00	maker	72767	76406	-	CmaCh00G000030.1	CmaCh00G000030		3	1116	42.473118279569896
Cma_Chr00	maker	77350	77895	-	CmaCh00G000040.1	CmaCh00G000040		1	546	42.857142857142854
Cma_Chr00	maker	78620	80460	-	CmaCh00G000050.1	CmaCh00G000050		2	438	52.96803652968037
Cma_Chr00	maker	212408	214829	-	CmaCh00G000060.1	CmaCh00G000060		6	1641	46.67885435709933
Cma_Chr00	maker	548552	549472	-	CmaCh00G000070.1	CmaCh00G000070		1	921	51.57437567861021
Cma_Chr00	maker	663086	663371	-	CmaCh00G000080.1	CmaCh00G000080		2	246	45.9349593495935
Cma_Chr00	maker	763095	766584	+	CmaCh00G000090.1	CmaCh00G000090		5	1536	51.627604166666664
Cma_Chr00	maker	2176312	2176596	+	CmaCh00G000100.1	CmaCh00G000100		1	285	39.64912280701754
Cma_Chr00	maker	2179792	2180496	-	CmaCh00G000110.1	CmaCh00G000110		2	666	37.987987987987985
Cma_Chr00	maker	2180541	2198572	-	CmaCh00G000120.1	CmaCh00G000120		2	492	40.24390243902439
Cma_Chr00	maker	2309537	2310449	+	CmaCh00G000130.1	CmaCh00G000130		3	837	58.90083632019116
Cma_Chr00	maker	2310468	2311844	+	CmaCh00G000140.1	CmaCh00G000140		3	411	57.420924574209245
Cma_Chr00	maker	2324723	2326582	+	CmaCh00G000150.1	CmaCh00G000150		4	1002	59.58083832335329
Cma_Chr00	maker	2354632	2393115	-	CmaCh00G000160.1	CmaCh00G000160		10	1662	40.61371841155235
Cma_Chr00	maker	2431554	2432444	+	CmaCh00G000170.1	CmaCh00G000170		2	786	39.82188295165395
Cma_Chr00	maker	2442080	2447634	-	CmaCh00G000180.1	CmaCh00G000180		3	267	40.823970037453186
Cma_Chr00	maker	2447845	2448353	-	CmaCh00G000190.1	CmaCh00G000190		2	366	42.076502732240435
Cma_Chr00	maker	2473195	2475648	+	CmaCh00G000200.1	CmaCh00G000200		4	426	35.2112676056338
Cma_Chr00	maker	2476910	2478129	+	CmaCh00G000210.1	CmaCh00G000210		5	456	38.59649122807018
Cma_Chr00	maker	2479021	2479504	-	CmaCh00G000220.1	CmaCh00G000220		2	408	36.27450980392157
Cma_Chr00	maker	2496335	2512736	+	CmaCh00G000230.1	CmaCh00G000230		5	606	44.71947194719472
Cma_Chr00	maker	2531460	2532885	+	CmaCh00G000240.1	CmaCh00G000240		2	219	44.74885844748859
