Chr	Origin	Start	End	Strand	ID_transcript	ID_Gene	Class_code	Exons	Length	GC
Carg_Chr01	maker	9182	11237	-	Carg04357-RA	Carg04357		3	1890	49.629629629629626
Carg_Chr01	maker	16079	19692	+	Carg04356-RA	Carg04356		8	774	44.315245478036175
Carg_Chr01	maker	22022	31160	+	Carg04355-RA	Carg04355		9	3424	44.59696261682243
Carg_Chr01	maker	31639	35138	+	Carg04354-RA	Carg04354		7	1657	44.538322269161135
Carg_Chr01	maker	35553	36637	-	Carg04353-RA	Carg04353		7	573	41.8848167539267
Carg_Chr01	maker	39557	45661	-	Carg04352-RA	Carg04352		7	3167	47.77391853489107
Carg_Chr01	maker	47362	48914	+	Carg04351-RA	Carg04351		3	1327	44.68726450640543
Carg_Chr01	maker	49490	53126	-	Carg04350-RA	Carg04350		5	1605	40.124610591900314
Carg_Chr01	maker	57490	58377	-	Carg04349-RA	Carg04349		3	435	51.49425287356322
Carg_Chr01	maker	59447	62246	+	Carg04348-RA	Carg04348		5	1678	43.80214541120382
Carg_Chr01	maker	64179	66397	-	Carg04347-RA	Carg04347		4	1494	46.72021419009371
Carg_Chr01	maker	68421	69250	+	Carg04346-RA	Carg04346		3	279	46.59498207885304
Carg_Chr01	maker	69254	74386	+	Carg04345-RA	Carg04345		17	2654	43.293142426525996
Carg_Chr01	maker	75597	79827	+	Carg04344-RA	Carg04344		8	2310	40.25974025974026
Carg_Chr01	maker	80281	81072	+	Carg04343-RA	Carg04343		2	702	42.16524216524216
Carg_Chr01	maker	81571	85048	+	Carg04342-RA	Carg04342		8	2057	45.8920758385999
Carg_Chr01	maker	90479	93644	+	Carg04341-RA	Carg04341		3	2268	41.62257495590829
Carg_Chr01	maker	92178	104346	-	Carg04340-RA	Carg04340		17	3756	41.02768903088392
Carg_Chr01	maker	106379	110627	-	Carg04339-RA	Carg04339		11	2206	40.34451495920218
Carg_Chr01	maker	111520	112641	-	Carg04338-RA	Carg04338		1	1122	54.90196078431372
Carg_Chr01	maker	113931	116742	+	Carg04337-RA	Carg04337		4	1945	53.573264781491005
Carg_Chr01	maker	117452	121271	+	Carg04336-RA	Carg04336		2	3724	42.21267454350161
Carg_Chr01	maker	121569	126741	-	Carg04335-RA	Carg04335		4	3560	41.76966292134831
Carg_Chr01	maker	127678	131245	-	Carg04334-RA	Carg04334		2	909	46.094609460946096
Carg_Chr01	maker	132749	133267	+	Carg04333-RA	Carg04333		2	265	40.0
Carg_Chr01	maker	133295	136445	+	Carg04332-RA	Carg04332		6	2559	43.259085580304806
Carg_Chr01	maker	139119	140463	+	Carg04331-RA	Carg04331		3	1110	44.5045045045045
Carg_Chr01	maker	140238	144384	-	Carg04330-RA	Carg04330		6	1233	48.09407948094079
Carg_Chr01	maker	147113	149918	-	Carg04329-RA	Carg04329		8	1666	46.87875150060024
Carg_Chr01	maker	153461	154447	+	Carg04328-RA	Carg04328		3	375	41.86666666666667
Carg_Chr01	maker	155555	156687	-	Carg04327-RA	Carg04327		3	287	45.64459930313589
Carg_Chr01	maker	157175	159761	+	Carg04326-RA	Carg04326		6	1198	43.32220367278798
Carg_Chr01	maker	160147	165898	+	Carg04325-RA	Carg04325		12	1661	41.119807344972905
Carg_Chr01	maker	166665	168177	-	Carg04324-RA	Carg04324		2	1239	44.632768361581924
Carg_Chr01	maker	171290	172402	-	Carg04323-RA	Carg04323		1	1113	46.540880503144656
Carg_Chr01	maker	177408	184727	-	Carg04322-RA	Carg04322		10	3276	43.894993894993895
