Chr	Origin	Start	End	Strand	ID_transcript	ID_Gene	Class_code	Exons	Length	GC
scaffold146	AUGUSTUS	31340	33281	-	MC00g_new0082.1	MC00g_new0082		8	714	54.34173669467787
scaffold146	AUGUSTUS	50153	52247	-	MC00g_new0083.1	MC00g_new0083		7	816	56.98529411764706
scaffold146	GeneWise	78810	88115	+	MC00g0609.1	MC00g0609		6	2571	44.768572539867755
scaffold146	AUGUSTUS	78873	79133	-	MC00g_new0084.1	MC00g_new0084		1	261	61.68582375478927
scaffold146	GeneWise	171832	177168	+	MC00g0610.1	MC00g0610		9	1443	42.75814275814276
scaffold146	GeneWise	251906	260246	-	MC00g0611.1	MC00g0611		17	3605	42.57975034674064
scaffold146	AUGUSTUS	262366	264475	-	MC00g_new0085.1	MC00g_new0085		4	528	49.81060606060606
scaffold146	GeneWise	298378	303091	-	MC00g0612.1	MC00g0612		9	2278	44.82001755926251
scaffold146	AUGUSTUS	319371	321626	+	MC00g_new0086.1	MC00g_new0086		3	615	51.38211382113821
scaffold146	GeneWise	321167	343382	-	MC00g0613.1	MC00g0613		12	2469	46.7395706763872
scaffold146	GeneWise	335679	335795	+	MC00g0614.1	MC00g0614		1	117	35.042735042735046
scaffold146	AUGUSTUS	344275	346500	+	MC00g_new0087.1	MC00g_new0087		3	528	46.59090909090909
MC01	Cufflinks	5762	6193	+	MC01g_new0001.1	MC01g_new0001		1	432	39.120370370370374
MC01	GeneWise	15200	17596	-	MC01g0001.1	MC01g0001		2	2139	37.77466105656849
MC01	AUGUSTUS	41799	42322	-	MC01g_new0002.1	MC01g_new0002		2	432	52.083333333333336
MC01	AUGUSTUS	43192	43967	+	MC01g_new0003.1	MC01g_new0003		3	513	54.3859649122807
MC01	AUGUSTUS	45996	46253	+	MC01g_new0004.1	MC01g_new0004		1	258	52.713178294573645
MC01	AUGUSTUS	93887	94138	+	MC01g_new0005.1	MC01g_new0005		1	252	49.20634920634921
MC01	GeneWise	165356	165529	+	MC01g0002.1	MC01g0002		1	174	44.827586206896555
MC01	GeneWise	260590	261287	-	MC01g0003.1	MC01g0003		3	555	46.486486486486484
MC01	AUGUSTUS	291485	293231	+	MC01g_new0006.1	MC01g_new0006		3	603	52.57048092868988
MC01	GeneWise	320758	320961	+	MC01g0004.1	MC01g0004		1	204	43.13725490196079
MC01	AUGUSTUS	324040	324432	-	MC01g_new0007.1	MC01g_new0007		2	219	49.31506849315068
MC01	GeneWise	388112	389200	-	MC01g0005.1	MC01g0005		1	1089	40.22038567493113
MC01	Cufflinks	391040	391207	+	MC01g_new0008.1	MC01g_new0008		1	168	50.0
MC01	AUGUSTUS	405127	406514	+	MC01g_new0009.1	MC01g_new0009		4	570	51.75438596491228
MC01	GeneWise	461509	463638	+	MC01g0006.1	MC01g0006		2	2046	45.01466275659824
