Chr	Origin	Start	End	Strand	ID_transcript	ID_Gene	Class_code	Exons	Length	GC
chr00	StringTie	1203	3620	+	MSTRG.2.4	MSTRG.2	u	2	1978	38.169868554095046
chr00	StringTie	30708	36835	+	MSTRG.11.4	MSTRG.11	u	2	6022	45.350381932912654
chr00	StringTie	47609	48091	+	MSTRG.4.1	MSTRG.4	u	1	483	33.54037267080745
chr00	StringTie	51910	54350	+	MSTRG.8.1	MSTRG.8	u	1	2441	35.313396149119214
chr00	StringTie	70583	71113	+	MSTRG.7.1	MSTRG.7	u	1	531	38.4180790960452
chr00	StringTie	71767	72629	+	MSTRG.9.1	MSTRG.9	u	1	863	38.58632676709154
chr00	StringTie	93904	103358	+	MSTRG.13.6	MSTRG.13	u	3	2204	39.791288566243196
chr00	StringTie	21500	22248	-	MSTRG.1.1	MSTRG.1	u	1	749	26.16822429906542
chr00	StringTie	27970	40295	-	MSTRG.12.9	MSTRG.12	u	3	12139	44.70714226872065
chr00	StringTie	60788	61069	-	MSTRG.5.1	MSTRG.5	u	1	282	52.836879432624116
chr00	StringTie	61838	62090	-	MSTRG.6.1	MSTRG.6	u	1	253	43.873517786561266
chr00	StringTie	74970	75368	-	MSTRG.15.1	MSTRG.15	u	2	306	39.54248366013072
chr00	StringTie	75597	76118	-	MSTRG.16.1	MSTRG.16	u	2	446	38.34080717488789
chr00	StringTie	80889	90955	-	MSTRG.17.2	MSTRG.17	u	2	10003	44.68659402179346
chr00	StringTie	91114	115113	-	MSTRG.18.1	MSTRG.18	u	4	2965	38.21247892074199
chr00	StringTie	93905	103358	-	MSTRG.19.1	MSTRG.19	u	3	2202	39.87284287011808
chr01	StringTie	39243	39938	+	MSTRG.20.1	MSTRG.20	u	1	696	24.2816091954023
chr01	StringTie	71868	72196	+	MSTRG.22.1	MSTRG.22	u	1	329	23.70820668693009
chr01	StringTie	80510	80901	+	MSTRG.30.1	MSTRG.30	x	2	360	41.666666666666664
chr01	StringTie	92432	93139	+	MSTRG.37.1	MSTRG.37	x	3	452	42.69911504424779
chr01	StringTie	113606	114468	+	MSTRG.40.1	MSTRG.40	u	2	760	39.078947368421055
chr01	StringTie	141922	147559	+	MSTRG.52.2	MSTRG.52	o	2	1336	35.92814371257485
chr01	StringTie	300255	300532	+	MSTRG.63.1	MSTRG.63	u	1	278	24.100719424460433
chr01	StringTie	305980	306306	+	MSTRG.65.1	MSTRG.65	u	1	327	28.134556574923547
chr01	StringTie	360866	361140	+	MSTRG.80.1	MSTRG.80	u	1	275	17.454545454545453
chr01	StringTie	365761	366242	+	MSTRG.87.1	MSTRG.87	u	2	207	33.333333333333336
chr01	StringTie	392562	392907	+	MSTRG.85.1	MSTRG.85	u	1	346	38.15028901734104
chr01	StringTie	398174	399464	+	MSTRG.91.1	MSTRG.91	u	2	360	35.27777777777778
chr01	StringTie	408825	410590	+	MSTRG.93.1	MSTRG.93	o	2	1074	43.01675977653631
chr01	StringTie	417568	417935	+	MSTRG.96.1	MSTRG.96	u	1	368	32.880434782608695
chr01	StringTie	453088	453887	+	MSTRG.97.1	MSTRG.97	u	1	800	32.625
chr01	StringTie	499600	499877	+	MSTRG.113.1	MSTRG.113	u	1	278	29.496402877697843
chr01	StringTie	597936	598152	+	MSTRG.138.1	MSTRG.138	u	1	217	27.1889400921659
chr01	StringTie	598765	600216	+	MSTRG.139.1	MSTRG.139	u	3	291	45.70446735395189
chr01	StringTie	652382	681952	+	MSTRG.154.8	MSTRG.154	x	7	27761	31.634307121501386
chr01	StringTie	699482	699834	+	MSTRG.161.1	MSTRG.161	u	1	353	39.376770538243626
chr01	StringTie	717703	718099	+	MSTRG.164.8	MSTRG.164	u	2	324	44.135802469135804
chr01	StringTie	759903	760184	+	MSTRG.174.1	MSTRG.174	u	1	282	28.01418439716312
chr01	StringTie	801431	803162	+	MSTRG.187.1	MSTRG.187	u	2	671	40.83457526080477
chr01	StringTie	808102	808372	+	MSTRG.186.1	MSTRG.186	u	2	249	24.899598393574298
chr01	StringTie	861348	861928	+	MSTRG.190.1	MSTRG.190	u	2	322	39.75155279503105
chr01	StringTie	882171	882393	+	MSTRG.192.1	MSTRG.192	u	1	223	30.493273542600896
chr01	StringTie	882863	883074	+	MSTRG.194.1	MSTRG.194	u	1	212	28.77358490566038
chr01	StringTie	917198	917446	+	MSTRG.209.1	MSTRG.209	i	2	209	25.83732057416268
chr01	StringTie	924988	926383	+	MSTRG.202.1	MSTRG.202	x	2	229	33.18777292576419
chr01	StringTie	1079336	1079547	+	MSTRG.231.1	MSTRG.231	x	1	212	41.9811320754717
chr01	StringTie	1100453	1100677	+	MSTRG.232.1	MSTRG.232	u	1	225	26.666666666666668
chr01	StringTie	1138863	1140124	+	MSTRG.242.1	MSTRG.242	x	2	220	40.0
chr01	StringTie	1212865	1213119	+	MSTRG.262.1	MSTRG.262	i	2	203	35.467980295566505
chr01	StringTie	1287500	1287761	+	MSTRG.275.1	MSTRG.275	u	1	262	23.66412213740458
chr01	StringTie	1336654	1337552	+	MSTRG.283.7	MSTRG.283	o	2	716	48.88268156424581
chr01	StringTie	1356462	1356872	+	MSTRG.297.1	MSTRG.297	x	2	300	41.333333333333336
chr01	StringTie	1373770	1374095	+	MSTRG.289.1	MSTRG.289	u	1	326	53.06748466257669
chr01	StringTie	1378934	1379344	+	MSTRG.292.1	MSTRG.292	u	1	411	54.74452554744526
chr01	StringTie	1384709	1389161	+	MSTRG.298.2	MSTRG.298	o	2	1015	36.847290640394085
chr01	StringTie	1398916	1402277	+	MSTRG.309.2	MSTRG.309	o	2	430	35.58139534883721
chr01	StringTie	1403386	1412926	+	MSTRG.311.1	MSTRG.311	u	5	749	32.176234979973295
