Chr	Origin	Start	End	Strand	ID_transcript	ID_Gene	Class_code	Exons	Length	GC
Cmo_Chr00	maker	49352	49586	-	CmoCh00G000010.1	CmoCh00G000010		2	186	34.946236559139784
Cmo_Chr00	maker	763905	764345	+	CmoCh00G000020.1	CmoCh00G000020		1	441	52.38095238095238
Cmo_Chr00	maker	769560	772119	-	CmoCh00G000030.1	CmoCh00G000030		5	1258	42.289348171701114
Cmo_Chr00	maker	811549	811890	+	CmoCh00G000040.1	CmoCh00G000040		1	342	51.75438596491228
Cmo_Chr00	maker	838679	842850	+	CmoCh00G000050.1	CmoCh00G000050		10	1799	39.74430239021679
Cmo_Chr00	maker	1500247	1502312	+	CmoCh00G000060.1	CmoCh00G000060		3	1914	48.22361546499477
Cmo_Chr00	maker	1532348	1532821	-	CmoCh00G000070.1	CmoCh00G000070		1	474	51.687763713080166
Cmo_Chr00	maker	1560296	1564305	+	CmoCh00G000080.1	CmoCh00G000080		4	3189	40.10661649419881
Cmo_Chr00	maker	2641012	2659130	+	CmoCh00G000090.1	CmoCh00G000090		21	2616	41.59021406727829
Cmo_Chr00	maker	2683523	2688207	+	CmoCh00G000100.1	CmoCh00G000100		7	797	42.28356336260979
Cmo_Chr00	maker	4197121	4198480	+	CmoCh00G000110.1	CmoCh00G000110		2	783	38.82503192848021
Cmo_Chr00	maker	4230128	4230625	+	CmoCh00G000120.1	CmoCh00G000120		1	498	38.95582329317269
Cmo_Chr00	maker	4825940	4827250	-	CmoCh00G000130.1	CmoCh00G000130		4	1131	35.278514588859416
Cmo_Chr00	maker	4853205	4861186	-	CmoCh00G000140.1	CmoCh00G000140		6	3483	36.86477174849268
Cmo_Chr00	maker	4943944	4944671	+	CmoCh00G000150.1	CmoCh00G000150		2	564	55.851063829787236
Cmo_Chr00	maker	4944827	4945132	-	CmoCh00G000160.1	CmoCh00G000160		1	306	60.45751633986928
Cmo_Chr00	maker	4973543	4975100	-	CmoCh00G000170.1	CmoCh00G000170		5	1176	44.21768707482993
Cmo_Chr00	maker	4980628	4981281	-	CmoCh00G000180.1	CmoCh00G000180		1	654	50.305810397553515
Cmo_Chr00	maker	5003970	5004697	-	CmoCh00G000190.1	CmoCh00G000190		2	564	55.851063829787236
Cmo_Chr00	maker	5156607	5158191	+	CmoCh00G000200.1	CmoCh00G000200		3	513	47.953216374269005
Cmo_Chr00	maker	5158225	5158824	+	CmoCh00G000210.1	CmoCh00G000210		2	504	47.22222222222222
Cmo_Chr00	maker	5301622	5303589	+	CmoCh00G000220.1	CmoCh00G000220		3	1722	38.850174216027874
Cmo_Chr00	maker	5371160	5562523	+	CmoCh00G000230.1	CmoCh00G000230		7	999	42.84284284284284
Cmo_Chr00	maker	5717347	5718246	-	CmoCh00G000240.1	CmoCh00G000240		3	600	43.666666666666664
Cmo_Chr00	maker	5748726	5750137	-	CmoCh00G000250.1	CmoCh00G000250		3	1002	40.818363273453095
Cmo_Chr00	maker	5760784	5785780	-	CmoCh00G000260.1	CmoCh00G000260		11	3051	40.675188462799085
Cmo_Chr00	maker	5785841	5790641	-	CmoCh00G000270.1	CmoCh00G000270		5	570	40.87719298245614
Cmo_Chr00	maker	5858915	5862024	-	CmoCh00G000280.1	CmoCh00G000280		4	363	43.25068870523416
Cmo_Chr00	maker	5960502	5966942	+	CmoCh00G000290.1	CmoCh00G000290		7	2281	39.98246383165279
Cmo_Chr00	maker	5970291	5973681	+	CmoCh00G000300.1	CmoCh00G000300		6	1449	40.78674948240165
Cmo_Chr00	maker	6132445	6134334	-	CmoCh00G000310.1	CmoCh00G000310		2	1683	45.692216280451575
Cmo_Chr00	maker	6154426	6154638	+	CmoCh00G000320.1	CmoCh00G000320		1	213	47.88732394366197
Cmo_Chr00	maker	6274044	6277059	+	CmoCh00G000330.1	CmoCh00G000330		5	2558	40.38311180609851
