Chr	Origin	Start	End	Strand	ID_transcript	ID_Gene	Class_code	Exons	Length	GC
Cp4.1LG00	maker	12487	16912	+	Cp4.1LG00g00010.1	Cp4.1LG00g00010		9	2345	40.72494669509595
Cp4.1LG00	maker	21069	22133	-	Cp4.1LG00g00020.1	Cp4.1LG00g00020		1	1065	50.328638497652584
Cp4.1LG00	maker	37615	42137	+	Cp4.1LG00g00030.1	Cp4.1LG00g00030		4	1653	44.767090139140954
Cp4.1LG00	maker	60459	68837	-	Cp4.1LG00g00040.1	Cp4.1LG00g00040		14	3033	40.02637652489285
Cp4.1LG00	maker	114159	117504	+	Cp4.1LG00g00050.1	Cp4.1LG00g00050		3	1240	41.04838709677419
Cp4.1LG00	maker	148088	149986	+	Cp4.1LG00g00060.1	Cp4.1LG00g00060		4	988	43.522267206477736
Cp4.1LG00	maker	157252	159338	+	Cp4.1LG00g00070.1	Cp4.1LG00g00070		4	1149	45.77893820713664
Cp4.1LG00	maker	158325	162845	-	Cp4.1LG00g00080.1	Cp4.1LG00g00080		10	1879	39.75518893028207
Cp4.1LG00	maker	165099	168728	-	Cp4.1LG00g00090.1	Cp4.1LG00g00090		5	1739	44.33582518688902
Cp4.1LG00	maker	178754	182420	+	Cp4.1LG00g00100.1	Cp4.1LG00g00100		11	1513	46.662260409781894
Cp4.1LG00	maker	215199	217794	-	Cp4.1LG00g00110.1	Cp4.1LG00g00110		2	2067	47.16981132075472
Cp4.1LG00	maker	219450	221252	-	Cp4.1LG00g00120.1	Cp4.1LG00g00120		3	1466	51.432469304229194
Cp4.1LG00	maker	232590	233012	+	Cp4.1LG00g00130.1	Cp4.1LG00g00130		1	423	54.846335697399525
Cp4.1LG00	maker	245303	247240	+	Cp4.1LG00g00140.1	Cp4.1LG00g00140		2	966	43.892339544513455
Cp4.1LG00	maker	248028	252448	+	Cp4.1LG00g00150.1	Cp4.1LG00g00150		5	1351	44.92968171724648
Cp4.1LG00	maker	254094	259269	-	Cp4.1LG00g00160.1	Cp4.1LG00g00160		6	3521	39.363817097415506
Cp4.1LG00	maker	262831	268088	+	Cp4.1LG00g00170.1	Cp4.1LG00g00170		11	1035	44.15458937198068
Cp4.1LG00	maker	279378	285818	+	Cp4.1LG00g00180.1	Cp4.1LG00g00180		8	4115	40.267314702308624
Cp4.1LG00	maker	287437	288078	+	Cp4.1LG00g00190.1	Cp4.1LG00g00190		1	642	51.401869158878505
Cp4.1LG00	maker	296870	301686	-	Cp4.1LG00g00200.1	Cp4.1LG00g00200		3	1289	41.03956555469356
Cp4.1LG00	maker	316667	317035	-	Cp4.1LG00g00210.1	Cp4.1LG00g00210		1	369	53.387533875338754
Cp4.1LG00	maker	328255	329539	+	Cp4.1LG00g00220.1	Cp4.1LG00g00220		3	887	43.74295377677565
Cp4.1LG00	maker	382715	384718	-	Cp4.1LG00g00230.1	Cp4.1LG00g00230		6	1575	42.285714285714285
Cp4.1LG00	maker	405155	405994	+	Cp4.1LG00g00240.1	Cp4.1LG00g00240		1	840	51.19047619047619
Cp4.1LG00	maker	434202	436360	+	Cp4.1LG00g00250.1	Cp4.1LG00g00250		4	627	38.43700159489633
