Chr	Origin	Start	End	Strand	ID_transcript	ID_Gene	Class_code	Exons	Length	GC
Cla97Chr01	EVM	2024	5796	+	Cla97C01G000010.1	Cla97C01G000010		6	762	48.68766404199475
Cla97Chr01	EVM	8500	8817	-	Cla97C01G000020.1	Cla97C01G000020		1	318	54.716981132075475
Cla97Chr01	EVM	12788	23469	-	Cla97C01G000030.1	Cla97C01G000030		9	1521	40.762656147271535
Cla97Chr01	EVM	25471	33326	-	Cla97C01G000040.1	Cla97C01G000040		2	1236	46.68284789644013
Cla97Chr01	EVM	36786	37812	+	Cla97C01G000050.1	Cla97C01G000050		2	774	48.96640826873385
Cla97Chr01	EVM	41094	41729	-	Cla97C01G000060.1	Cla97C01G000060		1	636	50.314465408805034
Cla97Chr01	EVM	46070	50585	-	Cla97C01G000070.1	Cla97C01G000070		8	2106	44.25451092117759
Cla97Chr01	EVM	53475	53990	-	Cla97C01G000080.1	Cla97C01G000080		3	246	54.47154471544715
Cla97Chr01	EVM	58798	63667	-	Cla97C01G000090.1	Cla97C01G000090		12	831	46.81107099879663
Cla97Chr01	EVM	68973	69479	+	Cla97C01G000100.1	Cla97C01G000100		1	507	46.15384615384615
Cla97Chr01	EVM	69753	70532	-	Cla97C01G000110.1	Cla97C01G000110		2	684	51.31578947368421
Cla97Chr01	EVM	71759	78458	-	Cla97C01G000120.1	Cla97C01G000120		2	219	47.945205479452056
Cla97Chr01	EVM	83372	93251	-	Cla97C01G000130.1	Cla97C01G000130		15	2619	43.52806414662085
Cla97Chr01	EVM	98078	101141	+	Cla97C01G000140.1	Cla97C01G000140		11	1671	45.661280670257334
Cla97Chr01	EVM	102252	102494	+	Cla97C01G000150.1	Cla97C01G000150		1	243	51.440329218106996
Cla97Chr01	EVM	102525	102734	+	Cla97C01G000160.1	Cla97C01G000160		1	210	48.57142857142857
Cla97Chr01	EVM	108414	110098	+	Cla97C01G000170.1	Cla97C01G000170		5	387	49.87080103359173
Cla97Chr01	EVM	110480	112443	-	Cla97C01G000180.1	Cla97C01G000180		8	1140	45.6140350877193
Cla97Chr01	EVM	113527	114709	+	Cla97C01G000190.1	Cla97C01G000190		2	201	41.791044776119406
Cla97Chr01	EVM	116403	118967	+	Cla97C01G000200.1	Cla97C01G000200		3	972	48.04526748971193
Cla97Chr01	EVM	119095	121741	+	Cla97C01G000210.1	Cla97C01G000210		3	516	47.286821705426355
Cla97Chr01	EVM	121848	126538	+	Cla97C01G000220.1	Cla97C01G000220		5	1641	44.424131627056674
Cla97Chr01	EVM	127940	129517	-	Cla97C01G000230.1	Cla97C01G000230		3	405	40.49382716049383
Cla97Chr01	EVM	133133	135688	+	Cla97C01G000240.1	Cla97C01G000240		5	1176	47.874149659863946
Cla97Chr01	EVM	136863	137546	+	Cla97C01G000250.1	Cla97C01G000250		3	378	42.592592592592595
Cla97Chr01	EVM	137724	139160	+	Cla97C01G000260.1	Cla97C01G000260		1	1437	47.73834377174669
Cla97Chr01	EVM	145320	149060	+	Cla97C01G000270.1	Cla97C01G000270		8	1380	44.927536231884055
Cla97Chr01	EVM	150229	150942	+	Cla97C01G000280.1	Cla97C01G000280		2	162	44.44444444444444
Cla97Chr01	EVM	153308	153931	+	Cla97C01G000290.1	Cla97C01G000290		2	321	45.17133956386293
Cla97Chr01	EVM	157203	159503	+	Cla97C01G000300.1	Cla97C01G000300		5	915	47.978142076502735
Cla97Chr01	EVM	164296	165564	-	Cla97C01G000310.1	Cla97C01G000310		2	843	41.755634638196916
Cla97Chr01	EVM	178616	180816	+	Cla97C01G000320.1	Cla97C01G000320		6	1029	45.77259475218659
Cla97Chr01	EVM	181243	183478	+	Cla97C01G000330.1	Cla97C01G000330		3	477	42.9769392033543
Cla97Chr01	EVM	195624	199693	+	Cla97C01G000340.1	Cla97C01G000340		9	2373	42.52001685630004
Cla97Chr01	EVM	213861	216580	+	Cla97C01G000350.1	Cla97C01G000350		2	2616	43.34862385321101
Cla97Chr01	EVM	217264	218591	-	Cla97C01G000360.1	Cla97C01G000360		3	444	43.468468468468465
Cla97Chr01	EVM	218728	227169	+	Cla97C01G000370.1	Cla97C01G000370		6	1080	48.888888888888886
Cla97Chr01	EVM	230389	231138	+	Cla97C01G000380.1	Cla97C01G000380		3	237	45.56962025316456
Cla97Chr01	EVM	231309	234091	+	Cla97C01G000390.1	Cla97C01G000390		2	2616	43.31039755351682
Cla97Chr01	EVM	236312	236797	-	Cla97C01G000400.1	Cla97C01G000400		3	234	41.88034188034188
Cla97Chr01	EVM	248659	253441	+	Cla97C01G000410.1	Cla97C01G000410		9	1731	41.76776429809359
Cla97Chr01	EVM	257506	259634	+	Cla97C01G000420.1	Cla97C01G000420		2	1344	43.973214285714285
Cla97Chr01	EVM	260804	264853	+	Cla97C01G000430.1	Cla97C01G000430		10	1209	45.24400330851944
Cla97Chr01	EVM	267282	268839	-	Cla97C01G000440.1	Cla97C01G000440		2	522	57.27969348659004
Cla97Chr01	EVM	272208	274012	-	Cla97C01G000450.1	Cla97C01G000450		3	1068	48.40823970037453
Cla97Chr01	EVM	277465	281578	+	Cla97C01G000460.1	Cla97C01G000460		8	1302	42.31950844854071
Cla97Chr01	EVM	286480	289835	+	Cla97C01G000470.1	Cla97C01G000470		5	2328	44.15807560137457
Cla97Chr01	EVM	294519	299975	-	Cla97C01G000480.1	Cla97C01G000480		3	1815	51.62534435261708
Cla97Chr01	EVM	314295	318296	+	Cla97C01G000490.1	Cla97C01G000490		6	957	45.66353187042842
Cla97Chr01	EVM	330563	333049	+	Cla97C01G000500.1	Cla97C01G000500		4	849	43.109540636042404
Cla97Chr01	EVM	337277	345360	-	Cla97C01G000510.1	Cla97C01G000510		6	3342	44.254937163375224
Cla97Chr01	EVM	351073	354172	-	Cla97C01G000520.1	Cla97C01G000520		2	276	48.18840579710145
Cla97Chr01	EVM	355843	356178	+	Cla97C01G000530.1	Cla97C01G000530		1	336	57.44047619047619
Cla97Chr01	EVM	363565	367582	+	Cla97C01G000540.1	Cla97C01G000540		10	1098	43.71584699453552
Cla97Chr01	EVM	369561	375649	-	Cla97C01G000550.1	Cla97C01G000550		7	2136	41.71348314606742
Cla97Chr01	EVM	389762	392083	+	Cla97C01G000560.1	Cla97C01G000560		1	2322	41.94659776055125
Cla97Chr01	EVM	398587	400340	+	Cla97C01G000570.1	Cla97C01G000570		3	588	45.74829931972789
Cla97Chr01	EVM	400382	401320	+	Cla97C01G000580.1	Cla97C01G000580		3	210	48.095238095238095
Cla97Chr01	EVM	402126	410491	-	Cla97C01G000590.1	Cla97C01G000590		17	2493	44.925792218210994
Cla97Chr01	EVM	413497	417938	-	Cla97C01G000600.1	Cla97C01G000600		10	1335	46.441947565543074
Cla97Chr01	EVM	422253	424694	-	Cla97C01G000610.1	Cla97C01G000610		3	891	48.372615039281705
Cla97Chr01	EVM	427295	428579	+	Cla97C01G000620.1	Cla97C01G000620		4	207	45.410628019323674
Cla97Chr01	EVM	428616	430817	+	Cla97C01G000630.1	Cla97C01G000630		1	2202	38.05631244323342
Cla97Chr01	EVM	436923	440033	-	Cla97C01G000640.1	Cla97C01G000640		4	675	39.407407407407405
Cla97Chr01	EVM	448759	449294	+	Cla97C01G000650.1	Cla97C01G000650		3	249	42.570281124497996
Cla97Chr01	EVM	450668	455712	-	Cla97C01G000660.1	Cla97C01G000660		10	1314	47.71689497716895
Cla97Chr01	EVM	466167	466982	-	Cla97C01G000670.1	Cla97C01G000670		1	816	57.47549019607843
Cla97Chr01	EVM	475898	478236	-	Cla97C01G000680.1	Cla97C01G000680		4	447	49.66442953020134
Cla97Chr01	EVM	479257	479682	-	Cla97C01G000690.1	Cla97C01G000690		1	426	42.95774647887324
Cla97Chr01	EVM	482519	484502	+	Cla97C01G000700.1	Cla97C01G000700		4	678	44.3952802359882
Cla97Chr01	EVM	485658	488066	-	Cla97C01G000710.1	Cla97C01G000710		2	1965	48.49872773536896
Cla97Chr01	EVM	494699	495340	+	Cla97C01G000720.1	Cla97C01G000720		3	384	42.96875
Cla97Chr01	EVM	496448	499888	+	Cla97C01G000730.1	Cla97C01G000730		3	1920	41.197916666666664
Cla97Chr01	EVM	501390	503777	+	Cla97C01G000740.1	Cla97C01G000740		5	675	46.22222222222222
Cla97Chr01	EVM	505540	509709	-	Cla97C01G000750.1	Cla97C01G000750		12	1020	44.6078431372549
Cla97Chr01	EVM	510638	511719	+	Cla97C01G000760.1	Cla97C01G000760		3	228	53.07017543859649
Cla97Chr01	EVM	512212	518739	+	Cla97C01G000770.1	Cla97C01G000770		13	1353	42.49815225424982
Cla97Chr01	EVM	525449	526327	+	Cla97C01G000780.1	Cla97C01G000780		1	879	51.64960182025028
Cla97Chr01	EVM	528158	529033	-	Cla97C01G000790.1	Cla97C01G000790		1	876	53.42465753424658
Cla97Chr01	EVM	537030	538969	+	Cla97C01G000800.1	Cla97C01G000800		3	1593	45.8254865034526
Cla97Chr01	EVM	540219	548008	+	Cla97C01G000810.1	Cla97C01G000810		19	3603	39.77241187898973
Cla97Chr01	EVM	551790	552329	-	Cla97C01G000820.1	Cla97C01G000820		1	540	40.18518518518518
Cla97Chr01	EVM	561853	562386	-	Cla97C01G000830.1	Cla97C01G000830		1	534	41.19850187265918
Cla97Chr01	EVM	568747	571519	-	Cla97C01G000840.1	Cla97C01G000840		4	570	41.578947368421055
Cla97Chr01	EVM	580658	581248	+	Cla97C01G000850.1	Cla97C01G000850		1	591	42.131979695431475
Cla97Chr01	EVM	585814	588572	+	Cla97C01G000860.1	Cla97C01G000860		4	1053	46.34377967711301
Cla97Chr01	EVM	592450	593918	+	Cla97C01G000870.1	Cla97C01G000870		3	651	45.775729646697386
Cla97Chr01	EVM	603738	606619	-	Cla97C01G000880.1	Cla97C01G000880		5	1878	43.556975505857295
Cla97Chr01	EVM	633205	639579	+	Cla97C01G000890.1	Cla97C01G000890		16	2622	42.601067887109075
Cla97Chr01	EVM	641163	641837	-	Cla97C01G000900.1	Cla97C01G000900		1	675	41.925925925925924
Cla97Chr01	EVM	644788	648152	+	Cla97C01G000910.1	Cla97C01G000910		6	870	41.49425287356322
Cla97Chr01	EVM	659272	660966	+	Cla97C01G000920.1	Cla97C01G000920		3	891	50.392817059483725
Cla97Chr01	EVM	663414	665907	-	Cla97C01G000930.1	Cla97C01G000930		4	510	42.549019607843135
Cla97Chr01	EVM	669172	670704	+	Cla97C01G000940.1	Cla97C01G000940		3	585	45.98290598290598
