ID_transcript	Chr	Origin	Start	End	Strand	ID_Gene	Class_code	Exons	Length	GC	CPC2	CPAT	FEELnc	SwissProt	Pfam	ORF.80	ORF.100	ORF.120	RNAcentral_rRNA	RNAcentral_tRNA	RNAcentral_snRNA	RNAcentral_snoRNA	miRBase	PmiREN	CANTATAdb	PLncDB	GreeNC	Ns	CGAT	Significance_level	ID
MSTRG.1.1	chr00	StringTie	12001	12447	-	MSTRG.1	u	1	447	31.0961968680089	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC1
MSTRG.10032.1	chr04	StringTie	25011481	25012792	-	MSTRG.10032	u	1	1312	31.3262195121951	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC2
MSTRG.10036.1	chr04	StringTie	25089314	25090020	+	MSTRG.10036	u	1	707	34.2291371994342	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	High	LSI-LNC3
MSTRG.10038.1	chr04	StringTie	25090792	25091655	+	MSTRG.10038	u	1	864	34.1435185185185	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	High	LSI-LNC4
MSTRG.10040.2	chr04	StringTie	25122697	25125843	-	MSTRG.10040	o	2	2119	39.8773006134969	NC	NC	NC	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	High	LSI-LNC5
MSTRG.10043.1	chr04	StringTie	25118715	25120224	+	MSTRG.10043	x	2	498	47.3895582329317	NC	NC	C	NC	NC	YES	YES	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Medium	LSI-LNC8
MSTRG.10044.1	chr04	StringTie	25120934	25121230	+	MSTRG.10044	x	1	297	37.037037037037	NC	C	NC	NC	NC	YES	YES	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	Medium	LSI-LNC9
MSTRG.10052.1	chr04	StringTie	25213234	25213774	-	MSTRG.10052	u	2	505	36.8316831683168	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	LSI-LNC10
MSTRG.10059.1	chr04	StringTie	25284891	25285275	+	MSTRG.10059	u	1	385	34.2857142857143	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC11
MSTRG.10063.5	chr04	StringTie	25286452	25287399	+	MSTRG.10063	o	2	479	41.3361169102296	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC12
MSTRG.10072.1	chr04	StringTie	25353245	25353794	-	MSTRG.10072	u	2	431	33.6426914153132	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC13
MSTRG.10085.8	chr04	StringTie	25414819	25415714	+	MSTRG.10085	x	2	521	39.7312859884837	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC14
MSTRG.10097.8	chr04	StringTie	25490108	25501143	+	MSTRG.10097	i	12	2697	36.9670003707824	C	NC	C	NC	C	YES	YES	YES	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	Low	LSI-LNC15
MSTRG.101.1	chr00	StringTie	1616941	1622639	+	MSTRG.101	i	3	476	34.6638655462185	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC16
MSTRG.10102.1	chr04	StringTie	25608763	25612599	+	MSTRG.10102	o	3	1458	43.278463648834	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	High	LSI-LNC18
MSTRG.10105.1	chr04	StringTie	25661227	25663008	-	MSTRG.10105	x	3	1547	36.0051712992889	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	High	LSI-LNC22
MSTRG.10111.1	chr04	StringTie	25717294	25717937	+	MSTRG.10111	x	1	644	36.3354037267081	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC23
MSTRG.10117.1	chr04	StringTie	25849410	25849770	-	MSTRG.10117	u	1	361	30.1939058171745	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC24
MSTRG.1012.1	chr01	StringTie	5537924	5538811	-	MSTRG.1012	o	2	867	47.0588235294118	NC	NC	NC	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC25
MSTRG.10132.4	chr04	StringTie	25947351	25949667	-	MSTRG.10132	u	5	1112	37.3201438848921	C	NC	NC	C	C	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Low	LSI-LNC26
MSTRG.10133.1	chr04	StringTie	25949679	25950013	+	MSTRG.10133	u	2	201	38.3084577114428	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	LSI-LNC27
MSTRG.10135.1	chr04	StringTie	25769461	25774434	-	MSTRG.10135	x	2	837	44.0860215053763	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC28
MSTRG.10145.1	chr04	StringTie	26001365	26002085	-	MSTRG.10145	x	1	721	38.4188626907073	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC30
MSTRG.10148.1	chr04	StringTie	26105161	26105647	+	MSTRG.10148	u	1	487	37.9876796714579	NC	C	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Medium	LSI-LNC31
MSTRG.10169.1	chr04	StringTie	26356821	26357698	+	MSTRG.10169	u	1	878	33.5990888382688	NC	NC	NC	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC32
MSTRG.10173.1	chr04	StringTie	26464691	26467302	-	MSTRG.10173	u	2	311	43.0868167202572	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC33
MSTRG.10184.1	chr04	StringTie	26347986	26348534	+	MSTRG.10184	x	1	549	46.2659380692168	NC	NC	NC	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC34
MSTRG.10188.1	chr04	StringTie	26541732	26542541	+	MSTRG.10188	x	1	810	42.4691358024691	NC	NC	C	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Medium	LSI-LNC35
MSTRG.102.1	chr00	StringTie	1625096	1626024	-	MSTRG.102	i	2	848	37.3820754716981	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	High	LSI-LNC36
MSTRG.10210.1	chr04	StringTie	26715931	26716368	+	MSTRG.10210	u	2	320	43.125	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC37
MSTRG.10222.1	chr04	StringTie	26800669	26802241	-	MSTRG.10222	u	2	734	34.7411444141689	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	YES	0	non-redundant	High	LSI-LNC38
MSTRG.10223.1	chr04	StringTie	26803088	26804215	+	MSTRG.10223	u	3	318	47.7987421383648	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	LSI-LNC40
